bilayers,$\epsilon_{r}$,"$\overline{MV}_{int, NN}$",$\overline{M}_{int}$,$\overline{IE}_{int}$,PF,"$\overline{\alpha}_{int, NN}$",$\overline{BL}_{max}$,"$\overline{N}_{p, v}$",$\overline{BL}_{min}$,"$\overline{Gr}_{int, NN}$",a,$\overline{\kappa}_{int}$,"$\overline{C}_{int}^{p, g}$",$\rho$,"$\overline{P}_{int, NN}$",Y_Corr
BMDS_HgBr2-HgBr2_692,2.102449,4.60104524881325E-05,1131.3208391624,4851.7404987255,1.4708573691,54.948653249,1.1732067877,3.3333333333,0.6535864502,21.281430383,4.2562860766,0.005192669,2.0174796003,32.7490194977,8.5125721532,0.027
BMDS_SrBr2-SrBr2_545,1.722639,3.38236619072919E-05,1166.6661478015,5003.3210755414,2.7411065266,773.3881687081,1.1466584604,3.3333333333,0.7066830792,65.8389473929,4.3892631595,0.0053549011,2.0805107376,24.3499086699,4.3892631595,0.109
BMDS_ISbS-SSbI_294,4.739977,7.24267157074528E-06,1544.6259918806,3975.7136200533,2.0957029415,93.8643871881,1.1466996711,4,0.7274847728,3.9773045419,3.9773045419,0.0106989492,2.8159316156,34.3352787606,7.9546090837,0.036
BMDS_CdBr2-CdBr2_381,2.14785,5.13435976944169E-05,1081.817540006,4639.4424900409,2.0117242106,101.7510854031,1.168778018,3.3333333333,0.6624439641,20.3502170806,4.0700434161,0.004965453,1.9292005792,32.0877630989,4.0700434161,0.028
BMDS_MoS2-MoS2_518,5.769909,2.23788214839284E-05,1236.8064766612,3183.4168144777,2.4440590088,215.285090695,1.1400011076,2.6666666667,0.7199977847,31.8469069075,3.1846906908,0.008566818,2.2547610091,30.719136716,6.3693813815,0.18
BMDS_Bi2Mo-Bi2Mo_369,170.139902,4.11816093991502E-05,1862.8390657995,2405.5397929043,4.719918422,133.4509984684,1.1069325498,2,0.7861349005,30.7963842619,3.4218204735,0.2692972713,0.4174620978,85.542869595,3.4218204735,0.222
BMDS_HfBr2-HfBr2_497,4.980494,4.26598401898119E-05,928.6638429527,3982.6332377041,2.627695986,286.495241242,1.1275302061,3.3333333333,0.744939588,45.4199772701,3.4938444054,0.0042624902,1.6560822482,52.0867324451,6.9876888108,0.106
BMDS_AsTiSb-SbTiAs_172,78.192762,2.56039429054928E-05,3060.8904125829,2824.5619554472,3.0520941065,193.0456012716,1.1287435197,2,0.755036841,37.2544142805,3.3867649346,0.8229838791,0.7010603415,40.4574330021,3.3867649346,3.724
BMDS_MoSe2-MoSe2_519,6.50911,2.34228603056422E-05,1640.7959431349,3125.4837702226,2.6810917984,192.9762030286,1.1352785146,2.6666666667,0.7294429708,33.214492776,3.3214492776,0.0677575653,1.0661852181,44.3019062712,3.3214492776,0.002
BMDS_Mo2Te2-Mo2Te2_633,10.888049,0.000043317,2816.0707461779,3387.4993768196,3.2025451234,190.9438277513,1.2770078012,2,0.7229921988,38.9681281125,3.8968128113,0.0915751011,0.7871561879,48.9931742425,0,0.816
BMDS_SnO2-SnO2_706,1.797761,0.0378397733,185.4797769719,4447.1145796239,1.3171218386,161.4486379847,1.2057144161,3.3333333333,0.5885712676,6.769334926,3.384667463,0.0009050601,3.107124731,22.6082952125,10.154002389,0.304
BMDS_SBiBr-BrBiS_163,3.416716,1.74235239588272E-05,1091.7427317907,4682.0072986014,1.7895367306,110.8993745611,1.1754291389,4,0.6677163796,8.214768486,4.107384243,0.0050110088,1.9469001312,34.410005549,8.214768486,0.021
BMDS_SbNbAs-SbNbAs_4,24.425167,1.62961952739086E-05,3391.1938433581,3029.2791757469,3.0054005524,209.2090615479,1.1273979505,2,0.7539258197,34.017733585,3.4017733585,1.267160576,0.9116752601,45.2892665258,1.7008866793,0.227
BMDS_PtO2-PtO2_430,3.38943,0.0352909707,172.8781989799,4144.9756503591,1.5379307289,134.7061878913,1.1942476085,2.6666666667,0.611504783,18.9282699613,3.1547116602,0.0008435699,2.8960253041,47.8659743959,12.6188466409,0.017
BMDS_BiWAs-AsWBi_287,18.127787,1.14155011823872E-05,3522.9038190266,3060.7246941452,3.7635764157,122.8168303881,1.1090915389,2,0.7902730704,29.0881966709,3.2320218523,1.6224749699,1.0633351894,86.3980757169,6.4640437046,1.095
BMDS_Tl2Se2-Tl2Se2_615,5.222558,3.45614324338369E-06,2094.8892788117,3990.4672294774,4.085420211,89.4780643379,1.2313206248,2.5,0.768679373,12.7219996689,4.2406665563,0.0865095977,1.3612539646,54.7611586486,8.4813331126,0.189
BMDS_TaAs2-TaAs2_451,33.142688,7.24380953778059E-06,3618.584966169,3143.8531770294,2.7128781298,146.0713197353,1.1250633185,2,0.7498733633,33.1980272126,3.3198027213,1.6665409661,1.0922150953,58.4117917975,6.6396054425,2.978
BMDS_SNbTe-TeNbS_179,16.489878,3.39504363044567E-05,2553.5618546814,3071.7229683039,2.4898749358,212.0135489454,1.1555667163,2.6666666667,0.7025794246,38.86915064,3.5335591491,0.08303864,0.7137789481,36.7015595944,0,0.123
BMDS_PbTe-PbTe_750,4.122452,4.718872473234E-06,2868.3244729703,3435.4345350614,2.4481868802,19.5084300685,1,3,1,4.3352066819,4.3352066819,0.8161026579,0.7196443092,37.8883533824,2.1676033409,0.069
BMDS_IHfCl-IHfCl_192,5.380461,0.0196846441,996.6455251991,4032.6264280417,2.8469183057,282.8692197046,1.1333633895,3.3333333333,0.7408627202,46.4012600146,3.5693276934,0.0081719758,1.2367720458,51.5108276388,7.1386553869,0.048
BMDS_CrS2-CrS2_490,7.399864,2.7614093471565E-05,1181.0803238565,3039.9832416494,2.5319227114,193.4203022898,1.143905916,2.6666666667,0.712188168,30.4119972154,3.0411997215,0.0081808273,2.1531694028,24.569487248,3.0411997215,0.015
BMDS_TeBiCl-ClBiTe_126,4.064709,0.0474391295,739.4029721326,5391.2645613773,1.931263876,143.9164293079,1.1708723321,4,0.6637052424,8.617750258,4.308875129,0.0003834899,2.0639511868,36.3302154919,12.9266253869,0.065
BMDS_TaTe2-TaTe2_456,26.502424,3.53525789595917E-05,2675.4523731217,3218.3471452061,2.9841844744,133.2802222793,1.1371287765,2.6666666667,0.7257424471,40.7245123631,3.7022283966,0.0870023673,0.7478501361,60.4412888358,3.7022283966,0.062
BMDS_ScSe2-ScSe2_441,5780.282641,5.13727353106515E-06,1916.7772842494,3651.1891183779,2.3557845302,264.2358968773,1.1717639712,2.6666666667,0.6564720577,50.4415074802,3.88011596,0.0791543656,1.2455172232,26.543928948,0,3.1
BMDS_ClTiBr-ClTiBr_189,6.257789,0.0186523002,739.3062106751,4041.5068137749,2.2494944358,277.8736649177,1.1412306086,3.3333333333,0.7213083498,43.9459567388,3.3804582107,0.0022125099,1.6107883374,27.6465767272,1.6902291053,0.247
BMDS_K2I2-K2I2_630,1.374428,0.0001335987,2585.2961159329,6739.0787212272,2.3396257245,1716.1795077461,1.3040189267,2.5,0.6959810733,106.9270721337,6.6829420084,0.0300064096,1.4301495898,11.4967945448,6.6829420084,0.115
BMDS_VAs2-VAs2_557,14.737724,1.39222958646807E-05,3200.1903189587,2780.3488367467,3.1380850394,167.3494020006,1.1023590501,2,0.7952819,29.3595442106,2.9359544211,1.4738491194,0.9659290045,45.3968124627,0,0.182
BMDS_Fe2S2-Fe2S2_625,13.502561,3.33176607110053E-05,1395.8194944688,3592.7005012644,2.5108681344,153.1102854681,1.325111155,2,0.674888845,28.7531052522,3.5941381565,0.0096682316,2.5446498148,23.3715132704,3.5941381565,0.044
BMDS_Cu2Br2-Cu2Br2_623,2.285576,7.19921037152245E-05,1035.1347596834,4439.2404535857,2.2076511072,99.3075108048,1.2986637629,2.5,0.7013362371,23.3664731306,3.8944121884,0.0047511829,1.8459513773,31.5334893563,0,0.216
BMDS_CoO2-CoO2_678,21.909541,0.0344668075,168.8012251311,4047.2249945199,1.336774683,153.0916220623,1.2216672702,2.6666666667,0.5566654605,21.5622002905,3.0803143272,0.0008236761,2.8277285524,16.6602233895,6.1606286544,0.054
BMDS_BN-BN_730,1.844131,0.0140621739,3029.4662176492,2767.9273058873,0.8365270319,16.460051617,1,2,1,2.5129849797,2.5129849797,0.344605379,2.595913484,9.2602430241,0,0.003
BMDS_BrAsSe-SeAsBr_242,5.159542,1.22786210213094E-05,1836.4029017641,3498.087308826,1.6122333434,4.089156259,1.1434093959,4,0.7232812309,3.7174147809,3.7160899915,0.0758352615,1.1932901447,32.748496679,0,0.063
BMDS_TeWSe-SeWTe_300,6.922722,2.3466227169702E-05,1696.022856157,3230.6832138536,2.7847735049,134.2398657404,1.1347465826,2.6666666667,0.7357841617,34.3324464809,3.4332446481,0.0700381908,1.102071532,64.0843143837,6.8664892962,0.098
BMDS_NiO2-NiO2_414,4.649448,0.0316430425,154.9714176244,3715.6376937346,1.8884878084,123.5812217187,1.1925299844,2.6666666667,0.6149400313,16.9676734625,2.8279455771,0.0007561926,2.5960540398,23.4741573636,5.6558911542,0.052
BMDS_BP-BP_731,4.479467,2.02423014994476E-05,4281.5495743574,2911.4472849456,0.925748188,7.2288196768,1,2,1,3.2128087453,3.2128087452,0.4439298484,2.8834958489,9.5002301745,1.6064043726,0.019
BMDS_W2S2-W2S2_663,10.706836,2.55354670814627E-05,1456.2340669247,3748.2015997989,2.0849720587,182.235491947,1.2961275295,2,0.7038724705,37.4970148039,3.7497014804,0.010086697,2.6547886481,51.5703717021,11.2491044412,0.696
BMDS_IrLi2-IrLi2_506,15.900545,1.22927746335027E-05,1244.890384704,1427.3886973991,5.4249375135,302.1402113463,1.0949854909,0,0.8100290283,21.9513832741,2.7439229093,2.3241027041,9.828731861,51.7938102493,10.9756916371,0.022
BMDS_HfSe2-HfSe2_400,5.611372,1.12498072056124E-05,1861.7771388853,3546.4216350021,2.330958823,279.2665708328,1.1633646739,2.6666666667,0.6732706523,45.2253556005,3.7687796334,0.0768831045,1.2097782623,45.9468840489,7.5375592667,0.02
BMDS_PdTe2-PdTe2_429,22.618999,4.6709749698116E-05,2910.1877503958,3500.7143212839,2.555970944,47.7608096749,1.1776737483,2.6666666667,0.6446525048,24.1622983178,4.0270497196,0.0946356684,0.8134640434,44.5106032979,0,0.954
BMDS_TeSbI-ISbTe_331,5.981153,0.000031443,1620.1006357222,4223.1083910102,2.3740954429,42.2980907866,1.1344428807,4,0.7413369831,8.3758595617,4.1879297809,0.0188038047,0.8962169731,41.4825713772,0,0.082
BMDS_BiVSb-SbVBi_325,28.311552,0.000032267,2963.3437640357,2734.5467914822,4.3706010389,144.2686556657,1.1012695811,2,0.799267335,32.7883308331,3.2788330833,0.7967564392,0.6787184482,68.8503019229,3.2788330833,3.317
BMDS_SbVBi-BiVSb_265,28.311552,4.27166374093887E-05,1784.9967305551,2305.0196575683,4.3706010389,127.8744902492,1.1012695811,2,0.799267335,32.7883308331,3.2788330833,0.2580441637,0.4000176362,68.8503019229,6.5576661666,0.069
BMDS_SeSbBr-BrSbSe_340,4.390308,2.94597989003246E-05,1054.0334564149,4520.2887019087,1.8898017041,87.2412943609,1.1418317915,4,0.7264129469,7.9310267601,3.96551338,0.0048379263,1.8796533421,34.5189439792,3.96551338,0.191
BMDS_SeCrS-SCrSe_269,8.154026,2.83790802509889E-05,1213.7995161095,3124.1991871023,2.6239840323,198.7785797316,1.1444589305,2.6666666667,0.7151673692,31.2544936685,3.1254493668,0.0084074588,2.2128181517,32.2090140477,3.1254493668,0.207
BMDS_SbTiBi-BiTiSb_276,16.486481,0.000035119,1778.9879969957,2297.260400235,4.5092877725,169.9253781113,1.0899708691,2,0.8214348319,35.945753062,3.2677957329,0.2571755242,0.3986710794,68.4418327168,6.5355914658,0.219
BMDS_VSb2-VSb2_559,19.71171,3.15643523983582E-05,2898.8141866262,2674.9994817834,4.1013896617,141.1270709814,1.1000128394,2,0.7999743212,32.074334314,3.2074334314,0.7794063238,0.6639387203,55.945709906,3.2074334314,0.279
BMDS_SbNbBi-SbNbBi_232,19.597376,2.97729323653372E-05,2413.1955668458,2561.2020510172,4.5026467047,174.9682598288,1.0950993407,2,0.8115315435,33.3272875864,3.3327287586,0.5360694208,0.5482338808,74.1855966588,1.6663643793,0.163
BMDS_ClHfI-IHfCl_312,5.380461,4.38634680246104E-05,1380.794418205,3599.3100460589,2.8469183057,250.2098713097,1.1333633895,3.3333333333,0.7408627202,46.4012600146,3.5693276934,0.0160262813,0.7638361264,51.5108276388,3.5693276934,0.187
BMDS_SCrTe-TeCrS_313,10.374635,4.30848887421018E-05,2364.3196672767,2844.0803237535,2.9580259843,147.2260607028,1.146433904,2.6666666667,0.717486263,32.7169023784,3.2716902378,0.0768847206,0.660881428,38.2553941089,3.2716902378,0.246
BMDS_PbBr2-PbBr2_421,2.384783,3.29360849815666E-05,1193.024173903,5116.3591265315,2.1393493249,116.6991291252,1.1678384211,4,0.6643231579,13.4652841298,4.4884280433,0.0054758822,2.1275148925,35.0760382037,8.9768560866,0.167
BMDS_SrCl2-SrCl2_546,1.576158,0.0464663439,725.0276163657,5286.4484475339,2.7225425427,771.50374562,1.1529663504,3.3333333333,0.6940672991,63.3765398921,4.2251026595,0.0003760341,2.0238241739,17.1094348509,8.4502053189,0.147
BMDS_Ni2S2-Ni2S2_607,8.650142,3.55498001994981E-05,1413.1136546036,3637.2139487634,2.5712563016,107.7046147293,1.2951728378,2,0.7048271998,21.8320164992,3.6386694165,0.0097880207,2.5761779469,26.7343434178,3.6386694165,0.257
BMDS_BrHfI-IHfBr_353,5.686804,4.46793129326218E-05,1406.476703392,3666.2559330504,2.9361948962,254.8636859449,1.1283600041,3.3333333333,0.7472337011,47.2643069513,3.6357159193,0.0163243645,0.7780432067,56.138890018,3.6357159193,0.155
BMDS_SrI2-SrI2_450,1.918711,3.69135931889113E-05,1872.2988757218,4880.5123078141,2.7566020488,795.1885880344,1.1645737062,3.3333333333,0.6708525877,72.5978625716,4.8398575048,0.0217309602,1.035729506,27.6622393796,0,0.056
BMDS_BiTe2-BiTe2_377,17.915935,3.83185883812234E-06,3013.2003351007,3624.6299107506,2.7075654786,41.6959612418,1.1360307505,3.6666666667,0.727938499,4.1695961242,4.1695961242,0.0979855089,0.8422584171,51.9851677544,4.1695961242,1.321
BMDS_CuI2-CuI2_385,56.247885,7.2858793318889E-05,1518.2022189826,3957.4902872485,2.5001182485,53.3735302525,1.1649369565,3.3333333333,0.6701260871,23.5471456996,3.9245242833,0.017621114,0.8398481966,39.5719956363,3.9245242833,0.172
BMDS_BiZrSb-SbZrBi_326,16.137087,1.38983845139178E-05,3012.2498695417,2779.6769027836,4.7735471091,229.9732689353,1.0829444189,2,0.8354263497,36.6624051926,3.3329459266,0.8099058602,0.6899198068,73.4696386074,0,0.023
BMDS_ZrBr2-ZrBr2_567,5.343197,4.13374800709845E-05,947.2801278444,4062.4703451087,2.5430015406,324.3133620536,1.1298613141,3.3333333333,0.740277372,46.3304802934,3.5638830995,0.0043479374,1.6892805892,37.404880813,3.5638830995,0.14
BMDS_ZnCl2-ZnCl2_465,1.910933,0.0397021654,618.1265741719,4506.9928298595,1.7275862152,86.7034186499,1.1748115246,3.3333333333,0.6503769508,18.0106810656,3.6021362131,0.0003205901,1.7254232461,20.9301573415,3.6021362131,0.092
BMDS_NbSb2-NbSb2_411,17.087373,2.41920837908673E-05,2978.79039353,2748.8008013056,4.1575291447,181.2758322204,1.0982357588,2,0.8035284826,32.9592422219,3.2959242222,0.800909586,0.682256314,60.6262312348,0,0.134
BMDS_IAsTe-IAsTe_199,7.290094,3.95617652162254E-05,2197.5655414566,3719.0911458149,2.1794330948,21.5892280393,1.1376797225,4,0.7353108349,5.9419893686,3.9613262457,0.0554387608,0.8239558591,40.6081944644,3.9613262457,0.003
BMDS_ClBiSe-ClBiSe_54,3.450525,0.0228485859,1380.7126965625,4547.473517735,1.756233912,108.9053734518,1.1713855603,4,0.6618753091,6.2231641972,4.1487761315,0.0425021371,1.6595104526,34.0267969076,10.3719403287,0.214
BMDS_SbMoAs-AsMoSb_82,113.624337,1.21270538600111E-05,3525.8705541243,3063.3022153722,3.3328600801,184.3803867753,1.1190132326,2,0.7668261358,29.1126926487,3.2347436276,1.6238413011,1.0642306535,50.7499777185,3.2347436276,0.416
BMDS_SbSe2-SbSe2_438,5.235531,6.96441094633453E-06,1915.60078368,3648.9480515038,1.9827632969,54.6760547569,1.1556569969,3.6666666667,0.6886860062,3.8777343799,3.8777343799,0.0791057814,1.244752736,36.0951404533,3.8777343799,0.024
BMDS_RuH2-RuH2_539,4.671779,0.0298405474,37.32122957,3495.0359169007,1.6002177381,179.7945572709,1.1690122856,0,0.6619754306,18.6472952883,2.6638993269,0.0048349773,38.1044159721,29.3477516852,10.6555973076,0.026
BMDS_TeBiBr-BrBiTe_164,4.377706,1.84415494941815E-05,1155.5313190838,4955.5686629933,2.0221785762,117.3790278979,1.163971371,4,0.6743831296,8.6947428073,4.3473714036,0.0053037931,2.0606540453,39.9325460871,8.6947428073,0.081
BMDS_SnTe-SnTe_754,4.0724,8.80040260143976E-06,2566.4147956987,3298.3741721643,1.7744889358,31.3553536868,1,3,1,4.1807138249,4.1807138249,1.4413010911,0.8967631154,29.9116529941,0,0.057
BMDS_SeBiI-IBiSe_145,4.388337,1.84617484367872E-05,1652.8413290375,4308.4533958936,2.0897812416,64.5157142781,1.1685065922,4,0.6837121798,8.5451277189,4.2725638595,0.0191838117,0.9143286659,41.1050620472,4.2725638595,0.017
BMDS_Li2Pt-Li2Pt_510,2.950969,1.05375831778772E-05,1285.1602451535,1473.5620347128,5.0844731735,328.9099803068,1.0989299225,0,0.8021401565,25.4941528497,2.83268365,2.3992830515,10.1466728342,49.2185512957,11.3307345999,0.159
BMDS_ClBiSe-SeBiCl_114,3.450525,2.06733514632545E-05,2049.49540896,3903.9983397396,1.756233912,79.2416241116,1.1713855603,4,0.6618753091,4.1487761315,4.1487761315,0.0846350331,1.3317571382,34.0267969076,8.297552263,0.101
BMDS_NiSe2-NiSe2_416,20.865608,3.46913670737971E-05,1749.6207590052,3332.779623935,2.2314741324,71.1890227854,1.1815570394,2.6666666667,0.6368859212,21.2504545628,3.5417424271,0.0722515455,1.1368993191,34.8262899483,0,0.373
BMDS_SbWAs-AsWSb_245,19.457447,1.11483548862175E-05,3440.4605962563,2989.0974171144,3.4470224252,119.9426629888,1.1067503849,2,0.7924374538,28.4074728131,3.1563858681,1.5845057058,1.0384509506,73.9667110901,6.3127717363,1.204
BMDS_MoAs2-MoAs2_408,101.181677,1.16532166457094E-05,3388.105133055,2943.6106064249,3.100649728,177.1761399854,1.1136511061,2,0.7726977878,27.9751799977,3.1083533331,1.5603933732,1.0226482466,49.6045319656,3.1083533331,2.869
BMDS_STiTe-TeTiS_333,12.887085,3.49148525816727E-05,2567.3145468734,3088.2663155523,2.5183059004,220.2605677721,1.154301152,2.6666666667,0.7086499168,42.6310776333,3.5525898028,0.0834858604,0.7176231402,31.933255911,3.5525898028,0.113
BMDS_SbTaAs-SbTaAs_41,17.746133,1.62036748693118E-05,3413.9874121247,3049.6401714302,2.9692086776,128.4239263657,1.129868423,2,0.7500699865,34.2463803642,3.4246380364,1.2756776686,0.9178029938,58.3470637355,5.1369570546,0.503
BMDS_BiVAs-BiVAs_181,20.929259,2.96492790969783E-05,2726.9995360777,2753.0281660109,3.5386394489,160.1761842043,1.126486928,2,0.7612337819,33.3700383759,3.3370038376,0.9688990642,0.7524943654,58.153405278,3.3370038376,0.446
BMDS_SeBiBr-BrBiSe_306,3.821284,1.7304183635081E-05,1084.2649717597,4649.9384548866,2.0952103808,110.1397826844,1.1428577691,4,0.724843393,8.1585024211,4.0792512105,0.0049766865,1.9335650738,42.8046491233,8.1585024211,0.045
BMDS_SbHfBi-SbHfBi_187,15.576315,2.10876075144266E-05,2395.3762216835,2542.2898070181,4.8315505644,190.2168691002,1.0832325666,2,0.834853969,36.3893140887,3.3081194626,0.5321110156,0.5441856516,89.7411704817,1.6540597313,0.036
BMDS_TeMoS-TeMoS_236,7.378563,3.05477523501285E-05,1870.6478430271,3146.7064083754,2.9306802853,196.3218830417,1.1400169501,2.6666666667,0.7294182043,33.6744224771,3.3674422477,0.0440966562,1.5321862227,43.71803534,3.3674422477,0.18
BMDS_AuSe2-AuSe2_475,12.637693,2.22519106950725E-05,1780.1528556058,3390.9389415487,2.0528357108,25.585192864,1.1440771582,2.6666666667,0.7118456836,18.0177414535,3.6035482907,0.0735123851,1.1567390013,52.4896640165,7.2070965814,0.587
BMDS_BiNbSb-SbNbBi_167,24.290934,2.45740828663264E-05,3025.8262415434,2792.2050559286,4.1662384795,184.1382231128,1.1017650765,2,0.7979194049,33.4796769296,3.347967693,0.8135561494,0.6930293124,68.6429355216,0,3.838
BMDS_SbMoAs-AsMoSb_244,22.956262,1.18407852627048E-05,3442.6396202583,2990.9905691602,3.7148341828,180.0279434447,1.1071849933,2,0.7914971136,28.4254647544,3.1583849727,1.5855092563,1.039108656,56.5663566664,3.1583849727,5.453
BMDS_Fe2O2-Fe2O2_598,37.658362,0.0323670424,158.5242818605,3800.8221521254,3.3767064003,164.020561706,1.2664072219,2,0.7335912621,23.1422309285,2.8927788661,0.0007735291,2.655570999,32.4903956726,5.7855577321,0.03
BMDS_GaP-GaP_736,3.670381,1.00934679276549E-05,1208.0412472811,3098.1609582647,1.1955462601,48.6948472002,1,2,1,3.895587776,3.895587776,0.7953816342,2.2243806201,14.9279352538,1.947793888,0.781
BMDS_Rb2Br2-Rb2Br2_644,1.305084,0.0002015565,1775.2574963412,7613.3033110585,2.5620031846,1995.6619259096,1.2248946328,2.5,0.7751053672,106.8627537301,6.6789221081,0.008148285,3.1658090793,11.5843333294,6.6789221081,0.027
BMDS_HfLi2-HfLi2_500,19.563621,1.32061366568523E-06,1393.3702650808,1597.635416022,4.8173971187,187.6883782423,1.0832370179,0,0.8335260073,9.2135837141,3.0711945714,2.6013018019,11.0010189546,37.4070584479,12.2847782854,2.484
BMDS_TeMoSe-TeMoSe_195,7.525866,3.12341803808538E-05,2091.6654503616,3112.2433258179,3.0277213169,184.124874438,1.1351984693,2.6666666667,0.7349903873,34.3837300538,3.4383730054,0.0754722875,0.8991345409,49.6451125897,1.7191865027,0.201
BMDS_TeBiBr-BrBiTe_349,4.482631,1.79351185626116E-05,1123.7988010236,4819.4817655636,2.28894623,114.1556344155,1.1368879751,4,0.7303883838,8.4559729197,4.2279864598,0.0051581435,2.004065582,45.2004842191,8.4559729197,0.004
BMDS_In2Se2-In2Se2_580,3.87537,2.77513343913447E-06,2021.9998804313,3851.62325402,2.7481260018,147.7615297238,1.2356677648,2.5,0.7643322352,12.2793515006,4.0931171669,0.0834995902,1.3138906106,40.2510122821,4.0931171669,0.079
BMDS_WH2-WH2_561,3.767714,0.0308378651,38.5733153274,3612.2904860459,1.6506115204,174.8133840172,1.1623471982,0,0.675305604,13.7663509377,2.7532701875,0.0049971854,39.3827767625,48.8088961558,13.7663509377,0.868
BMDS_SeSbCl-ClSbSe_147,3.791585,0.0444031347,691.8826058888,5044.7757371101,1.5629807054,114.5073776646,1.1709310745,4,0.6624093306,8.0638998355,4.0319499178,0.0003588435,1.9313040106,26.2741178135,8.0638998355,0.034
BMDS_ITiBr-ITiBr_218,7.510941,5.4497422460078E-05,1183.3430737788,3895.1596190899,2.5915313144,264.8991390164,1.1389210389,3.3333333333,0.7267063456,47.1415305573,3.6262715813,0.0103530054,1.247437424,37.3298075354,1.8131357907,0.173
BMDS_SeHfS-SHfSe_270,4.241547,1.0668237821333E-05,1399.7016352341,3602.6927453394,2.337687267,301.3056357647,1.1488115361,2.6666666667,0.7083185571,43.2496127892,3.6041343991,0.0096951215,2.5517271546,42.963822393,10.8124031973,0.184
BMDS_SeZrS-SZrSe_91,5.074712,8.78828939854969E-06,1452.967250243,3739.7931386932,2.0396239473,346.4434220118,1.1754856991,2.6666666667,0.6573571529,44.8954758547,3.7412896546,0.0100640692,2.6488330754,26.1867689776,7.4825793091,0.232
BMDS_TeNbS-TeNbS_59,16.489878,2.67260746241422E-05,1962.927442911,3301.9343468672,2.4898749358,244.8756490319,1.1555667163,2.6666666667,0.7025794246,38.86915064,3.5335591491,0.0462719571,1.6077694128,36.7015595944,3.5335591491,0.131
BMDS_WO2-WO2_562,3.965812,0.0317022724,155.3025784508,3723.5776975636,1.8333689857,177.6910888479,1.157476152,2.6666666667,0.685047696,28.3398865786,2.8339886579,0.0007578086,2.6016015879,54.2357046651,11.3359546314,0.045
BMDS_SbNbBi-BiNbSb_107,24.290934,3.52440559037899E-05,1822.6336120474,2353.6212881509,4.1662384795,167.398384648,1.1017650765,2,0.7979194049,33.4796769296,3.347967693,0.2634850574,0.4084520585,68.6429355216,3.347967693,0.167
BMDS_RuBr2-RuBr2_434,4.098264,6.5895053661329E-05,1004.2950265586,4306.9823204443,1.8494394085,192.6976913261,1.1796170082,3.3333333333,0.6407659837,34.0054749399,3.7783861044,0.004609631,1.7909550135,36.5098776985,3.7783861044,0.038
BMDS_SeTaS-STaSe_90,13.584806,1.8797763997396E-05,1337.0512135584,3441.4367933694,2.1441727044,187.977639974,1.1558736851,2.6666666667,0.6934152263,37.8709531083,3.4428139189,0.0092611694,2.4375122546,44.5601410321,10.3284417568,0.066
BMDS_ClBiS-ClBiS_230,3.192247,0.0217463965,1105.5388269097,4443.7938274312,1.9095900808,122.4076849568,1.1495329545,4,0.7111386797,5.9229524979,3.9486349986,0.0054866283,2.3435148717,34.3358894872,11.8459049958,0.087
BMDS_ScTe2-ScTe2_442,13.156533,2.06866929688292E-05,2774.5815777383,3337.591350743,3.0917827169,226.5246631702,1.1349299883,2.6666666667,0.7301400234,49.9122139189,3.8394010707,0.0902259252,0.7755590163,38.385707539,3.8394010707,5.367
BMDS_BrBiSe-SeBiBr_246,3.821284,2.03269087820859E-05,2015.1500980033,3838.5753891116,2.0952103808,77.9136981212,1.1428577691,4,0.724843393,4.0792512105,4.0792512105,0.0832167247,1.3094396386,42.8046491233,8.1585024211,0.081
BMDS_BiZrSb-SbZrBi_129,48.670065,1.39385743418793E-05,3020.9603641975,2787.7148683759,4.4309609447,230.6382804771,1.0892149807,2,0.8226585365,36.7684215253,3.342583775,0.8122478573,0.6919148414,68.1968967415,0,0.174
BMDS_Rb2I2-Rb2I2_646,1.370271,0.0002119762,2724.4425316752,7101.7910015285,2.4394148782,2020.5313747903,1.2806604381,2.5,0.7193395619,112.6821261647,7.055765833,0.0316214217,1.5071234375,13.0629007333,0,0.023
BMDS_AsMoSb-SbMoAs_304,22.956262,2.79453902385735E-05,2854.4851706395,2634.0930672435,3.7148341828,138.9689387994,1.1071849933,2,0.7914971136,28.4254647544,3.1583849727,0.7674875484,0.6537856894,56.5663566664,0,0.01
BMDS_IAsSe-IAsSe_51,6.195456,3.12717332188314E-05,1731.3454560533,3831.6226735883,1.7054366743,7.8621579431,1.1717458395,4,0.6752931408,5.8966184574,3.9310789716,0.0489222778,1.0515636249,32.8104344073,1.9655394858,0.058
BMDS_BrBiTe-TeBiBr_289,4.482631,3.88551955658652E-06,3055.3966950629,3675.3886295328,2.28894623,42.2798645983,1.1368879751,4,0.7303883838,4.2279864598,4.2279864598,0.0993576818,0.8540532649,45.2004842191,4.2279864598,0.082
BMDS_SnS-SnS_752,3.14626,2.27401841021142E-07,1679.0900896028,3210.31260192,1.5548486333,63.1462963497,1,3,1,3.7587081161,3.7587081161,1.2567052651,1.7571960443,22.9546348713,3.7587081161,0.062
BMDS_NbSe2-NbSe2_412,12.366343,1.9319257050664E-05,1721.4489507626,3279.1163211896,2.4341797263,240.7937702383,1.1436952862,2.6666666667,0.7126094306,38.3318592275,3.4847144752,0.0710881753,1.1185933465,39.7413215891,3.4847144752,0
