bilayers,$\epsilon_{r}$,"$\overline{MV}_{int, NN}$",$\overline{M}_{int}$,$\overline{IE}_{int}$,PF,"$\overline{\alpha}_{int, NN}$",$\overline{BL}_{max}$,"$\overline{N}_{p, v}$",$\overline{BL}_{min}$,"$\overline{Gr}_{int, NN}$",a,$\overline{\kappa}_{int}$,"$\overline{C}_{int}^{p, g}$",$\rho$,"$\overline{P}_{int, NN}$",Y_Corr
BMDS_Ni2Se2-Ni2Se2_638,22.04129,0.000038149,1924.0024558255,3664.9520464207,2.2715087238,78.2843104496,1.3202964855,2,0.6797035145,23.3684508805,3.8947418134,0.079452733,1.2502121221,31.1345354679,0,0.777
BMDS_SHfSe-SeHfS_131,4.509481,1.10612698064458E-05,1830.5753046513,3486.986562099,2.0684040427,274.5862956977,1.1753165891,2.6666666667,0.6571476287,44.4674163073,3.7056180256,0.0755946077,1.1895033862,38.014727282,7.4112360512,0.205
BMDS_GaN-GaN_735,2.128382,0.0179503141,587.3555754577,3179.6101501234,1.3722719606,68.3718098002,1,2,1,3.2099441221,3.2099441221,0.6520356285,2.2678255222,18.4288244707,3.2099441221,1.059
BMDS_IAsTe-TeAsI_259,7.290094,2.91830904523813E-05,2862.6920247479,3443.5809054235,2.1794330948,31.6906099659,1.1376797225,4,0.7353108349,3.9613262457,3.9613262457,0.0930911668,0.8001879016,40.6081944644,3.9613262457,0.211
BMDS_MoH2-MoH2_516,4.435743,0.0307251817,38.4316215269,3599.0212307887,2.0805767413,226.2912030423,1.1616872113,0,0.6766255775,13.7157821295,2.7431564259,0.0049788289,39.2381095162,26.2326187405,10.9726257036,0.624
BMDS_SHfSe-SeHfS_330,4.241547,1.07583411813105E-05,1780.4423931549,3391.4904695522,2.337687267,267.0663589732,1.1488115361,2.6666666667,0.7083185571,43.2496127892,3.6041343991,0.0735243417,1.1569271421,42.963822393,7.2082687982,0.038
BMDS_Au2Te2-Au2Te2_595,123.552873,4.78272258630428E-05,3375.6053366722,4060.5730484171,2.3434625075,9.3421673724,1.06702088,2,0.9329792824,23.355418431,4.6710836862,0.1097704666,0.9435589046,57.9366927672,4.6710836862,0.351
BMDS_HfTe2-HfTe2_401,10.48644,2.80819251914058E-05,2878.9451069402,3463.1320143125,2.7926476677,258.9480972395,1.1510821451,2.6666666667,0.6978357104,47.8058025673,3.9838168806,0.0936196967,0.8047310099,52.1204320369,3.9838168806,0.085
BMDS_Ru2S2-Ru2S2_650,12.149776,3.18428588774451E-05,1509.9502654023,3886.4617501702,1.8241272854,204.5096919357,1.3250071568,2,0.6749928432,31.1041356556,3.888016957,0.0104587656,2.7527160055,30.1137772839,7.7760339139,0.086
BMDS_BiCrAs-BiCrAs_17,42.454616,3.28672038800196E-05,2700.7620925844,2726.540291706,3.5027845297,145.4154822243,1.137025481,2,0.7372295189,29.7440759095,3.3048973233,0.9595769378,0.7452543464,55.7865787261,3.3048973233,2.763
