bilayers,PF,$\overline{EA}_{int}$,"$\overline{N}_{p, v}$",$\overline{Gr}_{int}$,A,$\overline{\alpha}_{int}$,d$_{layer}$,"$\overline{M}_{int, NN}$",$\rho$,"$\overline{C}_{int}^{p, g}$","$\overline{MV}_{int, NN}$","$\overline{AM}_{int, NN}$",Y_vdw
BMDS_VAs2-VAs2_557,3.1380850394,229.0044448429,2,44.0393163159,7.464910739,88.0786326319,3.92152,3208.9981822219,45.3968124627,0.9659290045,1.39222958646807E-05,70.4044806125,3.721751
BMDS_Bi2S2-Bi2S2_597,2.7479148685,786.1716978872,3.5,62.893735831,13.38147097,76.2586546951,6.39743,613.3711586916,51.5268022295,2.7830478105,1.96857393150955E-05,695.429402002,1.793832
BMDS_Al2S2-Al2S2_572,2.0577093542,718.5014553282,2.5,57.4801164263,11.1769422251,69.6946411668,4.71508,1958.3116415698,16.3101191425,2.5434951519,2.28842713522032E-05,18.2625107408,1.587872
BMDS_Au2Te2-Au2Te2_595,2.3434625075,888.440117116,2,74.7373389793,18.8959468451,177.5011800758,3.09437,2871.175009399,57.9366927672,0.9435589046,4.78272258630428E-05,327.2654652228,2.431308
BMDS_BrAsSe-BrAsSe_19,1.4294938469,991.3390441413,4,62.9603319027,12.609446903,95.2036533923,3.22742,2709.5837384324,29.0365998748,1.5167716322,3.02037883137042E-05,17.2106836978,1.290828
BMDS_SbWAs-AsWSb_245,3.4470224252,246.1980977138,2,47.3457880219,8.6278848535,94.6915760438,4.07449,8222.3851864656,73.9667110901,1.0384509506,1.11483548862175E-05,343.7884985388,3.630459
BMDS_MoAs2-MoAs2_408,3.100649728,242.4515599801,2,46.6252999962,8.3674226639,93.2505999923,3.76869,5613.6861195389,49.6045319656,1.0226482466,1.16532166457094E-05,65.332613696,2.943332
BMDS_PdSe2-PdSe2_533,1.8480444462,780.3902931279,2.6666666667,64.0320240515,13.8704036312,115.6578434431,2.39226,5338.8701053706,33.4715729395,1.2846424825,3.01550813267627E-05,109.8949612784,2.21104
BMDS_P2-P2_758,0.5293755808,235.9182166581,3,49.1496284704,9.2979605325,81.9160474507,1.23726,0,6.5000747234,2.5197376196,0,0,0.750685
BMDS_Ga2Te2-Ga2Te2_602,2.5749529878,785.8264995926,2.5,66.1052786198,14.7829786666,157.000036722,5.01791,1734.2306687907,40.7654882477,0.8345791426,3.5696850454679E-05,236.2499368373,1.660947
BMDS_In2S2-In2S2_604,2.7189353404,783.5943147904,2.5,62.6875451832,13.2940904639,76.0086485347,5.17992,162.1648434459,33.5144815035,2.7739238744,2.55843543779065E-06,324.2239016593,1.547769
BMDS_AsTaBi-BiTaAs_318,3.5752950845,313.4312514635,2,51.5511926749,10.2286679359,164.9638165597,4.0005,9435.9303072174,76.0311354971,0.4192830338,3.59758589947375E-05,96.340587244,2.74346
BMDS_In2Se2-In2Se2_580,2.7481260018,798.1578475387,2.5,65.4898746698,14.509051025,118.2910861224,5.36559,262.9827779711,40.2510122821,1.3138906106,2.77513343913447E-06,146.7709953694,1.604823
BMDS_MoS2-MoS2_697,1.5250502468,740.4828664304,2.6666666667,59.2386293144,13.7081349157,71.8268380437,2.5991,9284.3222758776,19.1682061944,2.6213093472,2.60168655120321E-05,236.4917154662,1.506049
BMDS_ClBiS-SBiCl_65,1.6804659343,813.312579472,4,65.0650063578,14.3215524589,78.8913202088,3.18386,634.5464745041,30.2160621723,2.8791265313,2.03653469899789E-05,719.4376016116,0.974381
BMDS_AlI2-AlI2_473,2.2138658669,1173.2013899517,3.6666666667,67.562410668,13.6786468062,130.7531359397,3.8425,2172.4097011362,33.117349364,0.8504915225,6.23918991221281E-05,399.8840245761,1.184667
BMDS_BiVAs-BiVAs_181,3.5386394489,282.31052466,2,50.0550575638,9.6437625571,130.143149666,3.79597,4557.6798413791,58.153405278,0.7524943654,2.96492790969783E-05,303.6990507571,2.924026
BMDS_TiTe2-TiTe2_715,1.9420151756,787.1940069453,2.6666666667,66.2203160417,17.1294682924,157.273250599,3.25529,5042.4287403876,28.3430377828,0.83603149,4.06758291285921E-05,327.1180143214,1.136586
BMDS_SbTaBi-SbTaBi_8,4.190023093,323.9166434896,2,49.987136341,9.6176408848,151.627646901,4.50266,8550.8328672473,83.3814990336,0.5481922619,2.95740560972077E-05,145.3299342172,3.369288
BMDS_SrCl2-SrCl2_449,2.5106183876,1556.0289424325,3.3333333333,75.7951060784,17.2153744433,65.0946205144,2.79776,3916.3777164261,15.7776273704,2.1356385771,0.0490335662,232.5884293406,0.568052
BMDS_Li2Ti-Li2Ti_513,5.0101438268,172.7734906209,0,2.8988840708,7.2774279981,475.7431120726,4.69396,4311.5392673728,13.8716122073,10.3838027417,6.80947868235853E-06,118.6397294824,3.421118
BMDS_SbTaAs-AsTaSb_260,3.2804510959,262.9061263896,2,50.5588704595,9.8389643312,101.1177409191,3.95315,7415.3010007318,64.463198771,1.1089245587,7.35463035618035E-06,357.3713311336,3.218811
BMDS_SSbI-ISbS_132,1.8586970436,1205.6070708118,4,69.4285914763,14.444574718,134.3647446806,3.44933,2111.1601054023,30.4522553546,0.8739834456,3.06629332237643E-05,23.8507631895,1.13774
BMDS_Fe2S2-Fe2S2_625,2.5108681344,718.8276313054,2,57.5062105044,12.9180731766,69.7262802366,2.43014,5113.1647070016,23.3715132704,2.5446498148,3.33176607110053E-05,85.4686053622,1.469871
BMDS_BrBiSe-BrBiSe_23,1.8562227232,1088.1703757807,4,69.1101277921,15.1928929094,104.5028902068,3.4621,689.007031624,37.9221881908,1.6649258059,1.93194220873296E-05,542.6125138945,1.107266
BMDS_TaSe2-TaSe2_711,1.6881981372,743.5932517956,2.6666666667,61.0127796345,14.5412337063,110.2043332148,3.10031,10661.983241131,37.2366220279,1.2240688914,2.09159435184561E-05,388.9103292554,1.37326
BMDS_IBiSe-IBiSe_25,2.0897812416,1047.2054019571,4,70.4973036813,15.8092744393,132.0222232577,3.64147,444.2398272888,41.1050620472,1.1429108324,0.000019876,451.6117089719,1.210446
BMDS_SbTiBi-SbTiBi_55,4.168460876,318.9858879988,2,49.2262172838,9.3271175211,149.3195257608,4.62324,3993.5917383195,63.2687724431,0.5398475162,3.00394786604659E-05,385.6158703159,3.189668
BMDS_TeTiSe-SeTiTe_299,2.6157160517,706.6849923617,2.6666666667,57.9844096297,11.3738691499,104.7343398936,3.38382,5243.9650458842,37.6414173636,1.1633122182,2.08888835690922E-05,112.6818280385,1.770841
BMDS_HgBr2-HgBr2_692,1.4708573691,1381.590460467,3.3333333333,72.3568633023,18.1160002387,89.3820076088,3.28615,133.9878856916,32.7490194977,2.0174796003,4.60104524881325E-05,513.6741414415,0.908836
BMDS_Hf2Se2-Hf2Se2_627,2.2908551901,852.4327905015,2,69.9432033232,19.1094461507,126.3349110025,3.04852,8795.3578178924,44.5785799635,1.4032355167,1.30487788699845E-05,435.0904391724,1.635313
BMDS_TeHfS-SHfTe_284,2.6383432742,743.6299908078,2.6666666667,59.4903992646,11.9727071193,72.1321091084,3.38234,7873.7030686712,47.3598766276,2.6324501675,1.10057238639554E-05,544.4301070202,1.663399
BMDS_SeTiS-SeTiS_196,2.1967012278,675.6153301734,2.6666666667,54.7333938368,10.134191201,82.6132163225,3.11776,5130.6399215223,26.28121554,1.7600206956,1.96749446657837E-05,80.2100782493,1.727326
BMDS_ScTe2-ScTe2_442,3.0917827169,730.2540836435,2.6666666667,61.4304171309,12.7662906949,145.8972406859,3.80041,4190.091964477,38.385707539,0.7755590163,2.06866929688292E-05,314.6335425808,1.217112
BMDS_SeZrS-SZrSe_91,2.0396239473,748.257930911,2.6666666667,59.8606344729,12.1219976656,72.5810192984,3.02917,6508.4971346501,26.1867689776,2.6488330754,8.78828939854969E-06,221.3309546738,1.421325
BMDS_IAsS-SAsI_81,1.6258732254,767.793978596,4,61.4235182877,12.7634217585,74.4760159238,3.23637,2693.5748357105,28.6333883503,2.7179906842,1.25841433091884E-05,164.5251971155,1.281375
BMDS_TeZrS-SZrTe_75,2.3296979853,765.76365944,2.6666666667,61.2610927552,12.6958688425,74.2790749657,3.2203,6660.765462541,31.0273505776,2.7108033544,8.9938941801228E-06,226.5090616441,1.454475
BMDS_TaSe2-TaSe2_455,2.4126123804,683.3386707001,2.6666666667,56.0688140062,10.6349252407,101.2742952986,3.30343,9798.0252475765,53.2150423171,1.124880581,1.92210903014867E-05,357.3962872487,2.089242
BMDS_Ga2S2-Ga2S2_578,2.0454666487,727.8145627154,2.5,58.2251650172,11.4687597626,70.5980125834,4.628,310.9587719202,25.8170630723,2.576463552,1.65614203745889E-05,137.0402040137,1.785309
BMDS_SnS2-SnS2_707,1.4742784275,756.5268318862,3.3333333333,60.5221465509,14.3083675531,73.383102693,3.07476,441.5090590888,21.1659661872,2.6781049849,4.57698733291142E-07,327.7463367439,0.952223
BMDS_ISbSe-SeSbI_73,1.9208786789,812.7762339292,4,66.6893320147,15.0453423964,120.4576059516,3.57649,1707.9971545616,34.1123382877,1.3379547235,7.48587751865053E-06,178.3939631393,1.230281
BMDS_SbVAs-AsVSb_102,3.0131312494,254.7499693222,2,48.9903787158,9.2378546554,97.9807574316,3.68366,3569.765595758,42.0748029964,1.0745223065,1.54874917246882E-05,78.3196120429,3.104175
BMDS_SbTaAs-AsTaSb_101,2.9692086776,267.1217668406,2,51.3695705463,10.1567147236,102.7391410925,3.82149,7534.2036801196,58.3470637355,1.126705914,7.47256019546407E-06,363.1016998407,3.106659
BMDS_ZnI2-ZnI2_466,2.3045546912,1210.0869705928,3.3333333333,69.6865802848,14.5523994682,134.8640289041,3.25718,1253.6615793238,36.6907381689,0.8772310695,6.77517528792582E-05,255.0118917364,1.283922
BMDS_NiTe2-NiTe2_417,2.7903726982,720.6462185989,2.6666666667,60.6221845299,12.4322796745,143.9776882584,2.71783,3809.1191872039,43.6844163534,0.7653550797,5.25101784624685E-05,257.5355432085,1.798094
BMDS_SeTiTe-TeTiSe_136,2.4063830249,693.8058602292,2.6666666667,58.364320524,11.5234386022,138.6152612445,3.28016,4444.2241417019,34.629014002,0.7368495466,3.58502838818768E-05,288.3106239636,1.722103
BMDS_NiSe2-NiSe2_525,2.2531489565,679.8647560994,2.6666666667,55.7837748594,10.5270830917,100.7594433399,2.65559,4302.3236360343,35.1645657532,1.1191619831,3.41501296717634E-05,69.8231563972,2.052216
BMDS_NiO2-NiO2_414,1.8884878084,398.7403263693,2.6666666667,45.2471292334,6.92610442,14.9881115586,1.88512,4731.718539582,23.4741573636,2.5960540398,0.0316430425,121.4144498175,1.249347
BMDS_BaCl2-BaCl2_366,2.5797615333,1682.157918042,3.3333333333,81.9389243745,20.1195463942,70.3710762275,2.77832,3992.835585404,17.8379273325,2.3087496927,0.052980142,491.0262342195,0.390947
BMDS_BiTaAs-BiTaAs_198,3.5752950845,290.7487266865,2,51.5511926749,10.2286679359,134.0331009548,4.0005,8498.3859497695,76.0311354971,0.7749862632,2.17374195779246E-05,230.3630342856,3.020686
BMDS_TeNbSe-SeNbTe_74,2.6050333487,699.2581231139,2.6666666667,57.3750254863,11.1362502048,103.6336397846,3.5052,8089.8785935644,42.2859977738,1.1510864488,1.98804463309932E-05,50.0109409651,2.36267
BMDS_IAsTe-TeAsI_259,2.1794330948,753.4442519401,4,63.3812199319,13.5897429306,150.5303973382,3.80899,1455.1535831109,40.6081944644,0.8001879016,2.91830904523813E-05,205.9212260998,1.368037
BMDS_Co2Se2-Co2Se2_621,2.5869607456,712.8120731963,2,58.4871444674,13.3623334532,105.6424046942,2.8358,4657.0388782161,35.520061713,1.1733983359,3.56954353577552E-05,74.0834726289,2.152721
BMDS_AsMoSb-SbMoAs_142,3.3328600801,333.8255423721,2,48.5211544146,9.0615247202,139.0939759884,3.8848,6444.320949851,50.7499777185,0.6695919309,0.000028621,83.5210804656,2.787424
BMDS_SrCl2-SrCl2_546,2.7225425427,1474.5608281564,3.3333333333,71.8267452111,15.4598111716,61.6864988283,3.30988,3711.330176082,17.1094348509,2.0238241739,0.0464663439,220.4109304368,0.654554
BMDS_HfO2-HfO2_688,1.4494854074,486.18989023,2.6666666667,55.1704839977,11.8899021689,18.2752228242,1.8936,8452.1181484519,29.1032072103,3.1654065194,0.0385593409,560.2928154426,0.831819
BMDS_WTe2-WTe2_566,3.0127510693,675.5638596917,2.6666666667,56.8297673768,10.9254295889,134.9706975199,3.623,10557.3369227974,65.9704548473,0.7174758131,3.8711727164984E-05,202.2269512801,2.601203
BMDS_NiH2-NiH2_523,2.0726786864,181.1006073515,0,2.4876457054,5.3591964457,11.2118191941,1.85871,4263.7998625608,20.0200368335,35.5832841697,0.0278701148,144.0976237777,2.366916
BMDS_OsBr2-OsBr2_418,1.8146959006,1244.1790720737,3.3333333333,65.1603334111,12.7235072747,80.4921765667,2.52369,11652.9673903834,48.067536665,1.8168234139,6.5926925568908E-05,422.8752319951,1.49541
BMDS_MoSe2-MoSe2_519,2.6810917984,647.6826091322,2.6666666667,53.1431884416,9.5538654837,95.9898841227,3.34091,7978.1211647976,44.3019062712,1.0661852181,2.34228603056422E-05,56.3982087337,2.507171
BMDS_ClBiSe-SeBiCl_114,1.756233912,809.0113456421,4,66.380418104,14.9063065732,119.8996302003,3.28662,209.0983170275,34.0267969076,1.3317571382,2.06733514632545E-05,539.4255321278,1.043852
BMDS_TeZrSe-TeZrSe_225,2.6853857801,734.9898182653,2.6666666667,61.0583441965,12.611886075,127.6501008358,3.53888,5799.2833703181,39.6816481315,0.997922313,1.68139415331101E-05,91.481618229,1.557126
BMDS_ClBiTe-ClBiTe_203,2.1882216144,1128.786633779,4,69.0837516964,15.181527701,110.11531331,3.69098,1153.6149154493,41.1640085973,1.4256374214,0.0230500052,535.0919669692,1.057775
BMDS_TeTiS-TeTiS_213,2.5183059004,693.1102705214,2.6666666667,56.8414368444,10.9299160455,101.9593273396,3.24333,4922.0776458467,31.933255911,1.6164283603,2.76515827298992E-05,168.4629203001,1.677722
BMDS_CaCl2-CaCl2_379,2.2859957105,1443.7202857663,3.3333333333,70.3244838339,14.819757999,60.3963214103,2.80367,3902.5951793466,12.8417317515,1.9814957504,0.045525353,19.1323963372,0.700857
BMDS_Tl2Te2-Tl2Te2_589,4.0488065517,864.9633335579,2.5,72.7624255359,17.9105332062,172.8107606477,5.67146,662.4109314723,55.4877128506,0.9186256224,1.47753200353813E-05,352.3465884756,1.569912
BMDS_PbO2-PbO2_424,2.8127184526,482.0731482851,3.3333333333,54.7033359756,10.1233135636,18.1204800419,2.12509,1866.1017380532,42.5788569121,3.1386039016,0.0382161881,653.7069162837,0.945879
BMDS_TaSb2-TaSb2_549,4.3228487884,334.2895773366,2,48.5886013571,9.0868603016,139.2873238903,4.53417,7729.5394886837,79.5335015778,0.6705226987,2.35849070987194E-05,191.7238185508,3.48277
BMDS_NbS2-NbS2_698,1.4947787056,743.817419339,2.6666666667,59.5053935471,13.831578964,72.1502896759,2.80046,8783.1448510388,18.431664317,2.6331136645,2.05256416866597E-05,226.2744656849,1.315694
BMDS_TeSbI-ISbTe_331,2.3740954429,1236.2768713072,4,71.1948062745,15.1887409387,137.78288979,4.01667,2164.8665416153,41.4825713772,0.8962169731,0.000031443,24.4575099202,1.236642
BMDS_IAsTe-IAsTe_199,2.1794330948,961.4138798416,4,65.3618830547,13.5897429306,140.4290154116,3.80899,2120.2800664022,40.6081944644,0.8239558591,3.95617652162254E-05,207.2987773017,1.380358
BMDS_ISbTe-ISbTe_49,2.0887262179,1048.3790164309,4,71.2742223779,16.1597115783,153.1315868664,3.70865,1507.665785784,36.4963147046,0.8984871669,2.11144484232137E-05,23.7245968397,1.198991
BMDS_SeTiTe-TeTiSe_359,2.6157160517,689.2896694728,2.6666666667,57.9844096297,11.3738691499,137.7129728705,3.38382,4415.295351764,37.6414173636,0.7320531716,3.56169236150309E-05,286.4339235066,1.720965
BMDS_ISbS-SSbI_294,2.0957029415,795.460908374,4,63.6368726699,13.6996362694,77.1597081123,3.74003,2049.9823069706,34.3352787606,2.8159316156,7.24267157074528E-06,356.744330883,1.198414
BMDS_SeSbI-ISbSe_355,2.1721487671,1196.755400448,4,68.9188408117,14.2335877894,133.3782272179,3.86007,2095.6597871055,38.57457234,0.8675665843,3.04378033420161E-05,23.6756488436,1.248691
BMDS_BrSbSe-BrSbSe_26,1.6725716564,1058.8847264572,4,67.2501847057,14.38646421,101.6904308126,3.41909,2135.2137432501,30.5510399245,1.6201180861,1.87994834518233E-05,172.5191404984,1.128847
BMDS_TeTiSe-SeTiTe_76,2.4063830249,711.3151563864,2.6666666667,58.364320524,11.5234386022,105.4205539465,3.28016,5278.3232373907,34.629014002,1.1709341805,2.10257464687768E-05,113.4201136283,1.76118
BMDS_MgI2-MgI2_407,2.4276570798,1240.4716939998,3.3333333333,71.436378042,15.2922165151,138.2504022107,3.34776,2252.9772992479,30.1988104911,0.8992579354,0.000049186,434.0600394028,1.159
BMDS_SnO2-SnO2_444,1.7555089984,455.8907256164,3.3333333333,51.732280921,9.0533082361,17.1363180551,2.02633,1455.8757158195,30.1331771445,2.9681396178,0.0361471585,332.0908507978,0.989041
BMDS_Ti2S2-Ti2S2_661,1.9040816397,820.1519280908,2,65.6121542473,16.8162400747,79.5547370248,2.47547,6367.0034481545,16.1150216431,2.9033378254,2.35342595765655E-05,64.8002038385,1.673605
BMDS_TeNbSe-TeNbSe_14,2.6050333487,690.651869291,2.6666666667,57.3750254863,11.1362502048,119.9496626572,3.5052,7679.898177074,42.2859977738,0.9377230728,2.71670745677498E-05,85.9630284196,2.338798
BMDS_SbWBi-SbWBi_48,3.8635128305,327.6011653368,2,50.5557353915,9.8377104373,153.3523973542,4.14623,10013.1026554601,82.0538036912,0.5544278981,3.44604744340125E-05,146.9830487713,3.243709
BMDS_IBiSe-SeBiI_248,2.3567299839,811.9385768639,4,66.6206011786,15.0143646648,120.3334608788,3.90135,209.8548937125,46.3558243762,1.3365758111,2.07481534795528E-05,541.3773258424,1.273012
BMDS_ClZrI-IZrCl_328,2.7563062214,1073.1441565152,3.3333333333,61.8003071164,11.4448176332,119.6017708311,3.63916,6329.6238079824,37.1029489388,0.7779568072,4.24531756767759E-05,132.2381159803,1.688185
BMDS_AgTe2-AgTe2_669,3.8176710455,608.1204488737,2.6666666667,51.1562943322,10.2223117807,121.4961990389,4.75419,1637.8646810965,57.3324365831,0.6458482159,3.25034305113063E-05,60.8641603622,3.011393
BMDS_Nb2Te2-Nb2Te2_636,3.1108863267,749.7615021224,2,63.0714197369,15.5388133832,149.7946218751,4.15202,7991.7007555874,46.9451115717,0.7962766742,3.7874387552006E-05,134.0192772098,2.477931
BMDS_NbSb2-NbSb2_521,4.2144280254,338.1500244652,2,49.1497128583,9.2977453657,140.8958435272,4.45605,6049.4121915525,61.4559463324,0.6782660374,2.40505928253379E-05,94.5430769953,2.921286
BMDS_SSbBr-BrSbS_339,1.8042952451,1260.0847867374,4,65.9933498907,13.0505580011,81.5211969239,3.57125,2476.6139625468,30.0168064904,1.8400498734,2.88390939022547E-05,162.4833913545,1.104398
BMDS_IBiS-SBiI_105,2.0345152999,838.6758278338,4,67.0940662267,15.2283166666,81.3515552999,3.51447,654.3348808759,37.8524539234,2.9689124305,2.10004427289583E-05,741.8733477577,1.167396
BMDS_TaCl2-TaCl2_452,2.4335527306,1096.5995509213,3.3333333333,53.4160239704,8.5500161537,45.8749382334,3.61292,9798.3840676014,48.125669203,1.5050750283,0.0346264662,457.1622979981,2.287897
BMDS_ISbSe-ISbSe_13,1.9208786789,1021.5972048003,4,68.7733736402,15.0453423964,128.7937724534,3.57649,1931.3022147296,34.1123382877,1.1149622696,1.93899232832752E-05,101.3677846624,1.209517
BMDS_Rh2Te2-Rh2Te2_649,2.6815805609,770.4019319126,2,64.8077334942,16.4065299103,153.9183670488,3.2769,6133.8089462277,47.0829913418,0.8181976354,4.93308366391346E-05,97.207549758,2.401026
BMDS_ClHfBr-ClHfBr_207,2.5901007186,1151.7444682937,3.3333333333,58.1343704305,10.1272246964,60.8701055096,3.56639,7821.8085579815,48.3151514304,1.6294722065,0.0188591488,413.1353231332,1.798014
BMDS_Li2Pt-Li2Pt_510,5.0844731735,168.827945538,0,2.83268365,6.94912951,464.8787955052,3.99081,4497.4801578891,49.2185512957,10.1466728342,1.05375831778772E-05,532.9326038538,3.087208
BMDS_Os2Se2-Os2Se2_640,2.0094105533,778.2602626939,2,63.8572523236,15.9284952632,115.3421620095,2.8585,11222.9120958727,57.6757572579,1.2811361247,3.18288492050444E-05,444.0872791279,2.15365
BMDS_ISbTe-TeSbI_109,2.0887262179,821.597399774,4,69.1143974573,16.1597115783,164.1466939612,3.70865,782.374979217,36.4963147046,0.8725692679,0.000009797,22.2224386075,1.217288
BMDS_ZrSb2-ZrSb2_570,4.496036545,338.2170976651,2,49.1594618699,9.3014996832,140.9237906938,4.93605,4012.1330940266,60.7493847028,0.6784005738,1.36663303998392E-05,100.0755551773,3.030779
BMDS_Os2S2-Os2S2_639,1.8098063052,784.4820435914,2,62.7585634873,15.3853533646,76.0947582284,2.51519,11444.1809483201,49.8861103669,2.7770664343,3.11831612327581E-05,620.3880121232,2.015894
BMDS_HfSb2-HfSb2_501,4.5502145138,335.8334283492,2,48.8129983066,9.1710672208,139.9305951455,4.90328,5213.9441431174,77.5093086318,0.6736193766,1.5558329660249E-05,184.6107595955,3.046064
BMDS_Tl2Se2-Tl2Se2_588,4.0741084374,828.4110404536,2.5,67.9721879347,15.6295646482,122.774764457,5.46893,352.605724911,54.6095351201,1.3636920204,3.46233332292155E-06,532.8310074365,1.668077
BMDS_PbSe2-PbSe2_702,2.1708806733,800.7650916506,3.3333333333,65.7038023918,16.8630271764,118.6774930703,3.4209,437.7926483121,35.4099141633,1.3181825355,7.74894219458763E-06,526.6159761706,0.960266
BMDS_SeZrTe-TeZrSe_153,2.4163320844,740.1100070892,2.6666666667,62.259516895,13.112876065,147.8663526256,3.36701,5468.4868420755,35.7058714818,0.7860264008,2.50516731106224E-05,138.8406682857,1.519731
BMDS_CrO2-CrO2_489,2.3482014693,370.1306534353,2.6666666667,42.0006415246,5.9676684062,13.912712505,2.31821,5578.7352105018,24.6188786285,2.4097868075,0.0293708386,94.492780798,1.915037
BMDS_SbNbBi-BiNbSb_107,4.1662384795,305.334653598,2,50.2195153944,9.7072654037,160.7024492621,4.47237,7384.2775435926,68.6429355216,0.4084520585,3.52440559037899E-05,388.6120019926,2.885446
BMDS_CrAs2-CrAs2_384,3.2298296056,231.4461485085,2,44.5088747132,7.625024164,89.0177494264,3.60202,3234.3115624911,44.6669364312,0.9762279854,0.000017216,68.0258804825,2.825925
BMDS_ClSbSe-SeSbCl_282,1.7701786126,764.79829644,4,62.7526807335,13.3217865959,113.347029575,3.52774,1607.1745944368,29.7571692716,1.2589756572,0.000007044,167.8634209622,1.111848
BMDS_SnSe2-SnSe2_446,1.9950631539,754.6231130268,3.3333333333,61.9177938894,12.9696400193,111.8390152127,3.19231,42.8780722684,35.9229818357,1.2422257399,0.000000565,153.8270191939,1.314011
BMDS_PdTe2-PdTe2_429,2.555970944,765.9448566757,2.6666666667,64.4327955143,14.0445347466,153.0278893464,2.75794,4451.460489594,44.5106032979,0.8134640434,4.6709749698116E-05,82.492099982,1.887528
BMDS_SnS2-SnS2_445,1.8313110346,740.091882485,3.3333333333,59.2073505988,11.8588831905,71.788912601,2.95697,431.9176226182,26.291822978,2.619925264,4.47755588903416E-07,320.6263057896,1.219242
BMDS_ClBiS-ClBiS_5,1.6804659343,1116.2715153253,4,67.0982878064,14.3215524589,69.1315692551,3.18386,1075.2805613199,30.2160621723,2.4135050796,0.0223958632,712.5488440635,0.943379
BMDS_PdS2-PdS2_427,1.9111547777,709.9390516908,2.6666666667,56.7951241353,10.9119736404,68.864088014,2.479,5110.4607666436,27.237258464,2.513184243,2.66582113909895E-05,263.9375909423,2.055869
BMDS_TeMoSe-SeMoTe_255,3.0277213169,670.4827360487,2.6666666667,55.013968086,10.2384652913,99.3689798554,3.48211,8258.971958918,49.6451125897,1.1037177347,2.42474064339257E-05,58.3835736313,2.473333
BMDS_TaS2-TaS2_548,2.2194010108,667.9711643266,2.6666666667,53.4376931461,9.6603805376,64.7932029397,3.12782,9691.0592462832,42.7097735753,2.3646179217,1.82356127861162E-05,497.2474203066,1.963743
BMDS_SeBiI-IBiSe_308,2.3567299839,1229.1500917447,4,70.7843887522,15.0143646648,136.9886111734,3.90135,656.0047322303,46.3558243762,0.8910505408,1.79917261057892E-05,338.8506982596,1.230794
BMDS_SeCrS-SeCrS_209,2.6239840323,617.2762499527,2.6666666667,50.0071898696,8.4595643657,75.4796022094,3.04155,5434.5938680644,32.2090140477,1.6080436992,2.84181483680745E-05,73.2839740292,2.336218
BMDS_PbS2-PbS2_425,2.6021961621,771.0820171726,3.3333333333,61.6865613738,12.872941734,74.7949556657,3.08935,818.3107907244,35.7376224313,2.7296303408,7.37154408417006E-06,675.2172453876,1.231131
BMDS_CuTe2-CuTe2_495,2.5806597881,745.0464121933,2.6666666667,62.674777051,13.2887037264,148.852595496,2.90769,2487.8361033022,41.0258547024,0.7912690603,5.21963377627526E-05,248.1862413615,1.877066
BMDS_SbWAs-AsWSb_113,3.0640238507,252.2417028996,2,48.5080197884,9.056621506,97.0160395768,3.89021,8424.2261032487,65.7482716931,1.0639425674,0.000011422,352.2277268346,3.400771
BMDS_Ti2Te2-Ti2Te2_612,3.6050795592,688.0782056433,2,57.8824988974,11.3340430907,137.4709348814,5.80105,4407.5352316692,45.6937382773,0.7307665486,3.55543249477525E-05,285.9305004129,2.934328
BMDS_SeSbBr-BrSbSe_146,1.6725716564,1322.994542756,4,69.2880690907,14.38646421,85.5911441709,3.41909,2600.258959912,30.5510399245,1.931914397,3.02788861926494E-05,170.5953776389,1.092125
BMDS_TeWS-TeWS_214,2.6780117968,656.0807845917,2.6666666667,53.8046773627,9.7931252298,96.5121400194,3.38764,10557.4529083429,58.7770787569,1.5300705125,2.97758447317628E-05,350.9250348348,2.508373
BMDS_HgI2-HgI2_694,1.7716572986,1330.7996915438,3.3333333333,76.6381936187,20.3234580613,148.3174452974,3.53593,687.6249219213,36.0078147959,0.9647396138,0.000049089,329.0483383665,0.948122
BMDS_TeBiI-IBiTe_351,2.5343918213,1269.7264678919,4,73.1211041808,16.021864861,141.5108427969,4.05982,677.6605860988,48.5873265333,0.9204656644,1.85856641861818E-05,350.0367474513,1.225363
BMDS_GaC-GaC_734,1.2883276861,305.2512632601,1.5,45.086346324,9.7591137816,102.3627048022,0,5878.0739567236,16.4344158057,1.8067935823,1.08524505466471E-05,96.3717312945,0.487703
BMDS_BiTaAs-BiTaAs_2,3.2545923142,295.557107883,2,52.4037425324,10.569731442,136.2497305843,3.86172,8638.9316356145,69.211168136,0.7878029294,2.20969114345122E-05,234.1727613136,2.909302
BMDS_SeTiS-STiSe_256,2.1967012278,684.1674229604,2.6666666667,54.7333938368,10.134191201,66.3642400272,3.11776,5311.3285379262,26.28121554,2.4219526773,1.96321842018487E-05,54.0560680881,1.731475
BMDS_SeTaTe-TeTaSe_152,2.5773616635,685.1492478464,2.6666666667,57.6361091774,11.237707974,136.8857592963,3.47077,9248.2180334704,54.1366184928,0.7276558784,0.000034398,194.6782064199,2.218618
BMDS_ClAsS-SAsCl_80,1.2055081211,730.1235315734,4,58.4098825259,11.5414718712,70.8219825626,3.0157,2561.4193734658,19.3335126634,2.5846373018,1.1966724682488E-05,156.4530607161,1.151022
BMDS_HgCl2-HgCl2_693,1.3307142906,1439.0952378773,3.3333333333,70.0991949682,17.0030148953,60.2028380315,3.01659,258.6247946122,26.6458927676,1.9751479053,0.045425103,680.9394564394,0.815381
