bilayers,PF,$\overline{EA}_{int}$,"$\overline{N}_{p, v}$",$\overline{Gr}_{int}$,A,$\overline{\alpha}_{int}$,d$_{layer}$,"$\overline{M}_{int, NN}$",$\rho$,"$\overline{C}_{int}^{p, g}$","$\overline{MV}_{int, NN}$","$\overline{AM}_{int, NN}$",Y_vdw
BMDS_TeHfSe-TeHfSe_194,2.7143215703,729.6137165095,2.6666666667,60.6117313819,12.4282512757,126.7164009203,3.51669,7188.8165182167,51.8632924006,0.9906229848,1.90055660214333E-05,286.2303779262,1.730418
BMDS_RuI2-RuI2_436,2.3679447311,1185.1999688353,3.3333333333,68.2533857392,13.959621674,132.0903759305,2.78877,8913.6914322821,43.3479341667,0.8591896793,7.03371214567261E-05,106.5154308035,1.635809
BMDS_BiNbAs-BiNbAs_226,3.5984849404,290.3973747002,2,51.4888962234,10.2041492982,133.871130181,4.00693,6634.515908045,62.0307602283,0.7740497399,2.19136742326982E-05,230.0846547013,2.64592
BMDS_TeAsBr-BrAsTe_158,1.6644839934,1293.7244347407,4,67.7551305933,13.7568194915,83.6975142623,3.31146,3284.9281550008,32.2095388727,1.8891724648,4.99315456513581E-05,19.8578330981,1.225235
BMDS_Mo2S2-Mo2S2_631,2.4636534321,750.457675641,2,60.0366140513,14.0795102892,72.7943945372,3.19416,9409.388428722,30.8787338433,2.6566201718,2.63673304336465E-05,239.6774201578,2.111192
BMDS_SNbTe-TeNbS_179,2.4898749358,672.0829501569,2.6666666667,56.5369463854,10.8129754941,134.2752476654,3.35722,7163.7258053161,36.7015595944,0.7137789481,3.39504363044567E-05,120.1342973067,2.191862
BMDS_SAsI-IAsS_141,1.6258732254,1133.2639124077,4,65.2624881807,12.7634217585,126.302109479,3.23637,2699.3716802489,28.6333883503,0.8215395571,4.83978934407989E-05,202.2307916104,1.282657
BMDS_Li2Rh-Li2Rh_511,5.216917923,165.8368475301,0,2.7824974418,6.7051972343,456.6426114143,3.9137,4962.0555129025,28.2239375539,9.9669058365,1.30777379763707E-05,267.0209757518,3.00806
BMDS_ClZrBr-ClZrBr_217,2.5043776476,1175.6379970908,3.3333333333,59.3403977154,10.5518581992,62.1328870196,3.54101,6664.6247857643,32.8424559278,1.6632764418,0.0192482588,117.0943124448,1.681215
BMDS_HgTe2-HgTe2_695,2.9523629536,667.7313333566,2.6666666667,56.1708797776,12.3249462153,133.4058394719,4.5469,1714.4054644131,60.1886051141,0.7091573572,1.98318312414902E-05,258.6862101159,1.8174
BMDS_BrBiTe-BrBiTe_44,2.0221785762,1119.0133992933,4,71.7316281598,16.3674509897,128.247456407,3.5679,993.0700497303,39.9325460871,1.4694115344,1.12183919070569E-05,458.9787354149,1.106561
BMDS_Re2S2-Re2S2_647,2.0620775553,760.9071110996,2,60.872568888,14.474539841,73.8079897767,2.9245,11682.3590581344,51.5632574348,2.6936111733,0.000028534,586.4387195956,1.890123
BMDS_In2Te2-In2Te2_606,2.9296358876,833.4751543906,2.5,70.1135776564,16.6298823657,166.519746934,5.59455,1283.5605019588,43.5288687922,0.8851839179,2.07799115779203E-05,52.9642347715,1.516319
BMDS_WSb2-WSb2_564,4.0280854838,332.2692608899,2,48.2949507107,8.9775339328,138.4455253708,4.2908,8986.7888215221,79.7443249218,0.6664703198,2.77889146389598E-05,199.8767026749,3.502221
BMDS_SBiI-IBiS_324,2.2902558858,1206.9075473733,4,69.5034834192,14.4758560883,134.5096826171,3.77995,644.1337536879,42.6105448278,0.874926203,1.76661501090784E-05,332.718898944,1.181703
BMDS_CaI2-CaI2_673,1.8686060559,1445.9346095396,3.3333333333,83.2685920128,23.9920561747,161.1492163071,3.53149,3566.5897220062,19.2314531062,1.0482046289,8.22889615185115E-07,428.6961005966,0.553921
BMDS_IBiTe-IBiTe_231,2.5343918213,1043.911293216,4,70.9704834696,16.021864861,152.479008424,4.05982,722.1999410277,48.5873265333,0.8946582159,1.12692525266828E-05,351.532504156,1.251542
BMDS_BrBiSe-SeBiBr_246,2.0952103808,795.4539860539,4,65.2680193685,14.4109286311,117.8903599844,3.71498,205.5942610109,42.8046491233,1.3094396386,2.03269087820859E-05,530.385874094,1.214532
BMDS_Bi2Hf-Bi2Hf_480,5.1759664394,306.2104875343,2,50.3635670287,9.7631317994,161.1634144918,5.04734,6586.2115388966,102.7071377866,0.4096236785,2.67531268056322E-05,102.3736869421,3.139631
BMDS_TiO2-TiO2_712,1.3198999118,450.6877354975,2.6666666667,51.1418706948,10.2169531972,16.9407446676,1.82366,6028.9872815276,13.1577563645,2.9342648311,0.0357525754,101.8605424095,0.946391
BMDS_SbZrBi-BiZrSb_266,4.7735471091,303.9646685058,2,49.994188899,9.6200158757,159.9814044768,5.00113,5278.0531693622,73.4696386074,0.406619403,2.45204831819888E-05,392.475713711,3.111353
BMDS_HgSe-HgSe_741,1.4200156601,435.4293403368,2,62.5231873304,17.2723319332,140.252907008,0.39496,579.85790307,32.1427327674,1.02939962,3.53925899709631E-06,271.5962598213,0.765072
BMDS_Bi2W-Bi2W_373,4.4796102263,311.7208506101,2,51.2698767451,10.1175936167,164.0636055842,4.21769,10768.7249115356,100.3245059254,0.4169949975,4.03938268915531E-05,85.9296806215,3.256462
