bilayers,PF,"$\overline{M}_{int, NN}$","$\overline{N}_{p, v}$",$\overline{EA}_{int}$,"$\overline{r}_{int, NN}^{atom}$",A,$\overline{Gr}_{int}$,$\overline{R}_{int}^{cov}$,$\rho$,$\overline{\alpha}_{int}$,$\overline{\kappa}_{int}$,$d_{layer}$,Y_Eadhe
BMDS_GaI2-GaI2_496,2.21489287,339.2804051852,3.6666666667,1193.1805529029,84.8807303894,14.1483150339,68.71297222,5.4970377776,36.9646419057,132.9798109434,0.0181483085,3.88578,1.425
BMDS_BiS2-BiS2_375,1.9695293184,608.7836593706,3.6666666667,780.2917961684,214.5802439463,13.1823272434,62.4233436935,4.0575173401,34.9797110962,75.6883042283,0.0104949247,3.18731,1.625
BMDS_ClBiSe-SeBiCl_275,1.9891755889,203.2868001515,4,786.5263101101,161.338730279,14.0894690358,64.5354921116,4.7594925432,38.5400107103,116.5672326266,0.0822827524,3.55947,1.3
BMDS_IrH2-IrH2_505,1.705448247,7447.3175230792,0,198.9602588194,347.0872646986,6.4686997054,2.7329705882,0.8745505882,52.7034570119,12.3174984409,0.0049603416,2.04208,2.799
BMDS_ClAsTe-ClAsTe_3,1.5556063879,2529.2853060991,4,1060.7048369411,86.5560326881,13.4056274695,64.9170245161,4.6622226698,27.8742215131,103.4738027135,0.0464038694,3.1541,1.257
BMDS_SeSbCl-ClSbSe_342,1.7701786126,2871.6411112175,4,1368.7928485003,211.7902974757,13.3217865959,66.6747232794,3.9220425458,29.7571692716,57.2618211694,0.0003490618,3.52774,1.331
BMDS_SWTe-TeWS_334,2.6780117968,9995.3621695192,2.6666666667,639.6031021493,235.3954634619,9.7931252298,53.8046773627,4.6070254992,58.7770787569,127.7861087365,0.0790256199,3.38764,3.769
BMDS_ClSbTe-ClSbTe_10,1.7614560931,1917.2748554836,4,1131.9332115151,134.3540903876,15.2663931401,69.2763278561,4.9752999097,29.2788813362,110.4222680373,0.0495199787,3.32636,1.037
BMDS_BiMoAs-AsMoBi_257,3.9845808347,5861.8526353381,2,253.1697151475,246.6781839899,9.123515427,48.6864836822,3.8949186946,69.2392710988,97.3729673644,1.6293743206,4.09181,0.821
BMDS_BrBiTe-BrBiTe_229,2.28894623,965.7989470197,4,1088.283714761,145.8655328642,15.481227805,69.7617765872,5.369542804,45.2004842191,124.7256005651,0.0522579126,3.85654,1.367
BMDS_SAsCl-ClAsS_140,1.2055081211,3352.7272569851,4,1274.0655625956,127.7716180253,11.5414718712,62.0605001837,3.6506176579,19.3335126634,53.2990178049,0.000324905,3.0157,1.379
BMDS_SbMoAs-SbMoAs_184,3.7148341828,5998.1204855309,2,286.1496785279,210.0326006855,8.6386742624,47.3757745907,4.1059004645,56.5663566664,115.2810515041,1.1764984023,4.06782,2.362
BMDS_Ti2Te2-Ti2Te2_612,3.6050795592,4407.5352316692,2,688.0782056433,191.7357775978,11.3340430907,57.8824988974,4.9561889681,45.6937382773,137.4709348814,0.0850149203,5.80105,3.468
BMDS_ClTiBr-BrTiCl_249,2.2494944358,5662.9435945261,3.3333333333,1097.2967351858,277.1975732755,9.8965660591,57.4677895815,3.9551361065,27.6465767272,70.9896224242,0.004124159,3.27205,2.597
BMDS_PbO2-PbO2_700,2.1435132059,1940.2223220798,3.3333333333,501.2208413427,376.804320442,12.6364063665,56.8761238403,2.2750449536,32.4484457385,18.8402160221,0.0009505422,2.26535,0.755
BMDS_SSbI-ISbS_354,2.0957029415,2055.9880368289,4,1174.10030076,71.5914817537,13.6996362694,67.6141772118,5.4091341769,34.3352787606,130.8533194275,0.0178580974,3.74003,1.571
BMDS_Tl2Te2-Tl2Te2_589,4.0488065517,662.4109314723,2.5,864.9633335579,150.0725026678,17.9105332062,72.7624255359,6.2302826865,55.4877128506,172.8107606477,0.1068698125,5.67146,1.512
BMDS_TeZrSe-TeZrSe_33,2.4163320844,5913.3700024883,2.6666666667,749.4489346235,361.8834419521,13.112876065,62.259516895,4.9613052526,35.7058714818,130.1613025086,0.0854122747,3.36701,1.914
BMDS_TeAsBr-BrAsTe_158,1.6644839934,3284.9281550008,4,1293.7244347407,79.7119183451,13.7568194915,67.7551305933,4.6631472232,32.2095388727,83.6975142623,0.004862427,3.31146,1.463
BMDS_Ti2O2-Ti2O2_660,1.767665757,7249.7872492339,2,541.9467724218,491.9800487233,14.7733310587,61.4975060904,2.4599002436,15.1196369361,20.3710488925,0.0010277771,1.20878,2.874
BMDS_TeTiSe-SeTiTe_299,2.6157160517,5243.9650458842,2.6666666667,706.6849923617,264.5538689354,11.3738691499,57.9844096297,4.2763502102,37.6414173636,104.7343398936,0.0739301223,3.38382,2.221
BMDS_BrAsSe-BrAsSe_182,1.6122333434,2639.7362359164,4,965.7843600776,57.6199291039,11.9679509394,61.3373438848,4.3679623676,32.748496679,92.7494987834,0.0401852538,3.50609,1.53
BMDS_InN-InN_744,1.8553892155,657.5534643113,2,64.3746096776,179.3164614975,11.1383152954,50.2086092193,3.8194406299,23.6972284597,129.8251181242,1.46368819,0,0.117
BMDS_TeHfS-SHfTe_284,2.6383432742,7873.7030686712,2.6666666667,743.6299908078,446.1779944847,11.9727071193,59.4903992646,3.8668759522,47.3598766276,72.1321091084,0.0100018234,3.38234,2.538
BMDS_IHfCl-ClHfI_252,2.8469183057,8332.2385675523,3.3333333333,1245.6953650085,460.443272453,11.0333438641,60.6785707884,3.5693276934,51.5108276388,52.1121843241,0.0003176702,3.65731,2.273
BMDS_SZrTe-TeZrS_135,2.3296979853,5380.7915057871,2.6666666667,728.2412401274,317.7919186676,12.6958688425,61.2610927552,5.2454810672,31.0273505776,145.4950952936,0.08997723,3.2203,1.993
BMDS_HgBr2-HgBr2_692,1.4708573691,133.9878856916,3.3333333333,1381.590460467,327.7340278988,18.1160002387,72.3568633023,4.9798547096,32.7490194977,89.3820076088,0.005192669,3.28615,1.461
BMDS_SrBr2-SrBr2_545,2.7411065266,3442.0601696987,3.3333333333,1424.7548215815,548.6578949405,16.6847430638,74.6174737119,5.1354378966,24.3499086699,92.17452635,0.0053549011,3.60069,1.121
BMDS_ISbS-SSbI_294,2.0957029415,2049.9823069706,4,795.460908374,178.9787043842,13.6996362694,63.6368726699,4.1363967235,34.3352787606,77.1597081123,0.0106989492,3.74003,1.355
BMDS_CdBr2-CdBr2_381,2.0117242106,1336.6836587238,3.3333333333,1321.1360928742,272.6929088804,14.3459093589,69.1907380741,4.7619507969,32.0877630989,85.4709117386,0.004965453,3.13785,1.548
BMDS_MoS2-MoS2_518,2.4440590088,7986.0577637624,2.6666666667,636.9381381508,324.8384504569,8.7836609638,50.9550510521,3.3120783184,30.719136716,61.7829994006,0.008566818,3.12458,3.267
BMDS_Bi2Mo-Bi2Mo_369,4.719918422,8046.7530255955,2,312.0700271876,160.8255622568,10.1400341567,51.3273071032,5.1327307103,85.542869595,164.2473827303,0.2692972713,4.21774,3.741
BMDS_HfBr2-HfBr2_497,2.627695986,7826.9102369547,3.3333333333,1134.1018939896,398.2982622145,10.5716005546,59.3953548916,4.0877979543,52.0867324451,73.3707325132,0.0042624902,3.68575,2.336
BMDS_AsTiSb-SbTiAs_172,3.0520941065,3512.8203254544,2,349.5141412496,145.6308921873,9.933219987,50.8014740188,4.7414709084,40.4574330021,145.6308921873,0.8229838791,3.81332,3.04
BMDS_MoSe2-MoSe2_519,2.6810917984,7978.1211647976,2.6666666667,647.6826091322,288.9660871513,9.5538654837,53.1431884416,3.9193101476,44.3019062712,95.9898841227,0.0677575653,3.34091,3.447
BMDS_Mo2Te2-Mo2Te2_633,3.2025451234,8469.0991552021,2,741.1737966998,261.0864583538,15.1850064734,62.34900498,5.3386335514,48.9931742425,148.0788868275,0.0915751011,3.88872,3.906
BMDS_SnO2-SnO2_706,1.3171218386,1524.0480652356,3.3333333333,477.2381122817,328.3127439101,11.4561206429,54.1546794079,2.1661871763,22.6082952125,17.9387375539,0.0009050601,2.09104,0.654
BMDS_SBiBr-BrBiS_163,1.7895367306,1144.3172501012,4,1333.2569252794,201.2618279072,14.6104670908,69.8255321311,4.8056395643,34.410005549,86.2550691031,0.0050110088,3.35116,1.318
BMDS_SbNbAs-SbNbAs_4,3.0054005524,5963.6828925252,2,308.2006662804,253.4321152085,10.0215709461,51.0266003775,4.4223053661,45.2892665258,124.1647275854,1.267160576,3.85288,4.736
BMDS_PtO2-PtO2_430,1.5379307289,6267.1501841871,2.6666666667,444.8143440906,406.957804168,8.6186341583,50.4753865635,2.0190154625,47.8659743959,16.7199717992,0.0008435699,1.88771,1.757
BMDS_BiWAs-AsWBi_287,3.7635764157,8419.4169252884,2,252.0977044808,255.3297263331,9.0465876915,48.4803277848,3.8784262228,86.3980757169,96.9606555695,1.6224749699,4.11395,3.227
BMDS_Tl2Se2-Tl2Se2_615,4.085420211,351.9753241728,2.5,826.9299784783,224.7553274838,15.5741017394,67.8506649008,5.0039865364,54.7611586486,122.555263477,0.0865095977,5.48345,1.749
BMDS_TaAs2-TaAs2_451,2.7128781298,7303.5659867632,2,258.944612258,285.503034028,9.5444329717,49.7970408188,3.9837632655,58.4117917975,99.5940816377,1.6665409661,3.63307,8.03
BMDS_SNbTe-TeNbS_179,2.4898749358,7163.7258053161,2.6666666667,672.0829501569,265.0169361818,10.8129754941,56.5369463854,4.8409760343,36.7015595944,134.2752476654,0.08303864,3.35722,3.463
BMDS_PbTe-PbTe_750,2.4481868802,264.5559877622,3,488.3610327146,67.1957035692,16.2761182551,65.0281002283,6.1126414215,37.8883533824,184.2462839802,0.8161026579,1.68853,0.722
BMDS_IHfCl-IHfCl_192,2.8469183057,7948.0896745465,3.3333333333,1149.6804500551,396.1953739712,11.0333438641,60.6785707884,4.2118066783,51.5108276388,84.7715327191,0.0081719758,3.65731,2.281
BMDS_CrS2-CrS2_490,2.5319227114,5448.7350690963,2.6666666667,608.2399443076,237.21357828,8.0096043709,48.6591955446,3.1628477104,24.569487248,58.9992745978,0.0081808273,2.93551,3.242
BMDS_TeBiCl-ClBiTe_126,1.931263876,1606.348648083,4,1503.7974200133,275.7680082546,16.0790686719,73.2508771926,4.308875129,36.3302154919,62.9095768831,0.0003834899,3.37816,0.971
BMDS_TaTe2-TaTe2_456,2.9841844744,9504.8790518503,2.6666666667,704.1638410425,285.0715865419,11.8704098934,59.2356543464,5.0720529034,60.4412888358,140.6846790726,0.0870023673,3.64679,3.687
BMDS_ScSe2-ScSe2_441,2.3557845302,5121.7530672251,2.6666666667,756.6226122037,314.2893927615,13.0384529596,62.0818553603,4.5785368328,26.543928948,112.1353512445,0.0791543656,2.95476,0.488
BMDS_ClTiBr-ClTiBr_189,2.2494944358,5822.163176249,3.3333333333,1138.538325356,302.5510098556,9.8965660591,57.4677895815,3.6677971586,27.6465767272,60.1721561501,0.0022125099,3.27205,2.204
BMDS_K2I2-K2I2_630,2.3396257245,336.2856418605,2.5,1972.804480867,855.4165770697,44.6619265061,113.6100141421,9.0888011314,11.4967945448,219.8687920749,0.0300064096,1.87215,0.23
BMDS_VAs2-VAs2_557,3.1380850394,3208.9981822219,2,229.0044448429,167.3494020006,7.464910739,44.0393163159,3.5231453053,45.3968124627,88.0786326319,1.4738491194,3.92152,5.241
BMDS_Fe2S2-Fe2S2_625,2.5108681344,5113.1647070016,2,718.8276313054,244.4013946438,12.9180731766,57.5062105044,3.7379036828,23.3715132704,69.7262802366,0.0096682316,2.43014,1.81
BMDS_Cu2Br2-Cu2Br2_623,2.2076511072,4252.5812773945,2.5,1264.1261963628,198.6150216097,15.1667065542,66.2050072032,4.5564622605,31.5334893563,81.7826559569,0.0047511829,3.22707,2.674
BMDS_CoO2-CoO2_678,1.336774683,5277.1945053745,2.6666666667,434.3243201365,320.3526900297,9.4884057325,49.2850292353,1.9714011694,16.6602233895,16.3256659342,0.0008236761,1.6091,1.906
BMDS_BN-BN_730,0.8365270319,2871.0225146793,2,42.3437969079,38.9512671853,5.4691575596,35.1817897158,1.9475633593,9.2602430241,35.0561404668,0.344605379,0,0.84
BMDS_BrAsSe-SeAsBr_242,1.6122333434,2215.5792094158,4,724.8958822753,40.8915625899,11.9679509394,59.4786364944,4.3865494415,32.748496679,107.433287168,0.0758352615,3.50609,1.534
BMDS_TeWSe-SeWTe_300,2.7847735049,10989.8161185393,2.6666666667,669.4827063777,308.9920183282,10.2078869013,54.9319143695,4.0512286847,64.0843143837,99.2207703298,0.0700381908,3.49251,3.813
BMDS_NiO2-NiO2_414,1.8884878084,4731.718539582,2.6666666667,398.7403263693,285.6225032858,6.92610442,45.2471292334,1.8098851693,23.4741573636,14.9881115586,0.0007561926,1.88512,1.504
BMDS_BP-BP_731,0.925748188,3262.1253594896,2,158.5521115781,17.6704480989,8.9392141308,44.9793224335,3.1003604392,9.5002301745,73.0913989544,0.4439298484,0,0.685
BMDS_W2S2-W2S2_663,2.0849720587,12398.9129031201,2,749.9402960782,393.7186554411,14.0602816504,59.9952236863,3.8996895396,51.5703717021,72.7442087196,0.010086697,3.24558,1.629
BMDS_IrLi2-IrLi2_506,5.4249375135,6270.7144637701,0,163.5378053921,35.6709978204,6.5203825334,2.7439229093,3.567099782,51.7938102493,450.3120484466,2.3241027041,4.04648,6.356
BMDS_HfSe2-HfSe2_400,2.330958823,7582.7846223425,2.6666666667,734.9120285073,395.721861504,12.3006135675,60.3004741339,4.4471599674,45.9468840489,108.9177314044,0.0768831045,3.1467,2.08
BMDS_PdTe2-PdTe2_429,2.555970944,4451.460489594,2.6666666667,765.9448566757,185.2442871035,14.0445347466,64.4327955143,5.5170581159,44.5106032979,153.0278893464,0.0946356684,2.75794,1.989
BMDS_TeSbI-ISbTe_331,2.3740954429,2164.8665416153,4,1236.2768713072,75.3827360553,15.1887409387,71.1948062745,5.695584502,41.4825713772,137.78288979,0.0188038047,4.01667,1.489
BMDS_BiVSb-SbVBi_325,4.3706010389,4194.3488568344,2,338.3755741978,124.5956571659,9.310204395,49.1824962497,4.5903663166,68.8503019229,140.9898225824,0.7967564392,4.27012,0.815
BMDS_SbVBi-BiVSb_265,4.3706010389,5372.6958903151,2,299.0295771981,91.8073263327,9.310204395,49.1824962497,4.918249625,68.8503019229,157.383987999,0.2580441637,4.27012,4.46
BMDS_SeSbBr-BrSbSe_340,1.8898017041,2529.9182261986,4,1287.2056431613,154.6550218216,13.618641721,67.4137274607,4.6396506546,34.5189439792,83.2757809809,0.0048379263,3.68175,1.418
BMDS_SeCrS-SCrSe_269,2.6239840323,5599.6801036214,2.6666666667,625.0898733698,243.7850506142,8.4595643657,50.0071898696,3.2504673415,32.2090140477,60.6337177169,0.0084074588,3.04155,3.266
BMDS_SbTiBi-BiTiSb_276,4.5092877725,4563.8035205807,2,298.0229708413,107.837259186,9.247711892,49.0169359936,4.9016935994,68.4418327168,156.8541951796,0.2571755242,4.66876,4.633
BMDS_VSb2-VSb2_559,4.1013896617,4103.0129941091,2,331.00713012,121.882470393,8.9092188014,48.1115014709,4.490406804,55.945709906,137.91963755,0.7794063238,4.21206,4.493
BMDS_SbNbBi-SbNbBi_232,4.5026467047,6751.8085194224,2,323.9412353401,199.9637255186,9.6187792917,49.9909313796,4.8324567,74.1855966588,151.6391585183,0.5360694208,4.51867,4.711
BMDS_ClHfI-IHfCl_312,2.8469183057,7563.9407815407,3.3333333333,1053.6655351017,331.9474754894,11.0333438641,60.6785707884,4.8542856631,51.5108276388,117.430881114,0.0160262813,3.65731,2.522
BMDS_SCrTe-TeCrS_313,2.9580259843,4767.9650512123,2.6666666667,622.275483237,140.6826802271,9.269686553,52.3470438054,4.4822156258,38.2553941089,124.3242290379,0.0768847206,3.17511,3.36
BMDS_PbBr2-PbBr2_421,2.1393493249,1502.7705931696,4,1456.9437428477,269.3056825966,17.4471612369,76.3032767357,5.2514608106,35.0760382037,94.2569889088,0.0054758822,3.32868,0.964
BMDS_SrCl2-SrCl2_546,2.7225425427,3711.330176082,3.3333333333,1474.5608281564,591.5143723264,15.4598111716,71.8267452111,4.2251026595,17.1094348509,61.6864988283,0.0003760341,3.30988,0.916
BMDS_Ni2S2-Ni2S2_607,2.5712563016,4874.5070971603,2,727.733883306,221.9588344083,11.4660233583,58.2187106645,3.7842161932,26.7343434178,70.5901866807,0.0097880207,2.99801,3.42
BMDS_BrHfI-IHfBr_353,2.9361948962,7704.6273904439,3.3333333333,1073.2633393856,338.1215804975,11.4474277235,61.8071706286,4.9445736503,56.138890018,119.6150537459,0.0163243645,3.77851,2.557
BMDS_SrI2-SrI2_450,2.7566020488,3209.5515042909,3.3333333333,1428.7259354093,503.3451804965,20.2857020142,82.2775775812,6.5822062065,27.6622393796,159.2313119071,0.0217309602,3.5855,1.057
