bilayers,PF,"$\overline{M}_{int, NN}$","$\overline{N}_{p, v}$",$\overline{EA}_{int}$,"$\overline{r}_{int, NN}^{atom}$",A,$\overline{Gr}_{int}$,$\overline{R}_{int}^{cov}$,$\rho$,$\overline{\alpha}_{int}$,$\overline{\kappa}_{int}$,$d_{layer}$,Y_Eadhe
BMDS_RuH2-RuH2_539,1.6002177381,6907.464315674,0,193.9318709988,332.9874158633,6.1458020769,2.6638993269,0.8524477846,29.3477516852,12.0061942664,0.0048349773,2.14424,2.495
BMDS_TeBiBr-BrBiTe_164,2.0221785762,1211.1776730502,4,1411.156757617,213.0211987777,16.3674509897,73.9053138616,5.0864245422,39.9325460871,91.2947994761,0.0053037931,3.5679,1.274
BMDS_SnTe-SnTe_754,1.7744889358,454.8198570122,3,621.8811814557,45.987852074,15.1370006786,62.7107073737,5.7902886475,29.9116529941,190.2224790335,1.4413010911,1.69057,0.592
BMDS_SeBiI-IBiSe_145,2.0897812416,673.1424360601,4,1261.2608513167,119.6317880653,15.8092744393,72.6335856111,5.8106868489,41.1050620472,140.5673509767,0.0191838117,3.64147,1.451
BMDS_Li2Pt-Li2Pt_510,5.0844731735,4497.4801578891,0,168.827945538,28.3268364997,6.94912951,2.83268365,3.682488745,49.2185512957,464.8787955052,2.3992830515,3.99081,6.273
BMDS_ClBiSe-SeBiCl_114,1.756233912,209.0983170275,4,809.0113456421,165.9510452599,14.9063065732,66.380418104,4.8955558352,34.0267969076,119.8996302003,0.0846350331,3.28662,1.17
BMDS_NiSe2-NiSe2_416,2.2314741324,4370.5101550858,2.6666666667,690.6397732915,162.9201516483,10.8635502808,56.6678788342,4.179256064,34.8262899483,102.3563561442,0.0722515455,2.47725,1.725
BMDS_SbWAs-AsWSb_245,3.4470224252,8222.3851864656,2,246.1980977138,249.3544835819,8.6278848535,47.3457880219,3.7876630418,73.9667110901,94.6915760438,1.5845057058,4.07449,2.52
BMDS_MoAs2-MoAs2_408,3.100649728,5613.6861195389,2,242.4515599801,236.2348533139,8.3674226639,46.6252999962,3.7300239997,49.6045319656,93.2505999923,1.5603933732,3.76869,0.653
BMDS_STiTe-TeTiS_333,2.5183059004,4328.2622603129,2.6666666667,675.7025804878,188.2872595471,10.9299160455,56.8414368444,4.8670480298,31.933255911,134.9984125055,0.0834858604,3.24333,2.118
BMDS_SbTaAs-SbTaAs_41,2.9692086776,7853.0717276905,2,310.2722060995,261.984809786,10.1567147236,51.3695705463,4.4520294473,58.3470637355,124.9992883293,1.2756776686,3.82149,5.786
BMDS_BiVAs-BiVAs_181,3.5386394489,4557.6798413791,2,282.31052466,141.8226630975,9.6437625571,50.0550575638,4.5049551807,58.153405278,130.143149666,0.9688990642,3.79597,3.787
BMDS_SeBiBr-BrBiSe_306,2.0952103808,1136.4793872545,4,1324.124942939,199.8833093161,14.4109286311,69.3472705791,4.7727239163,42.8046491233,85.6642754212,0.0049766865,3.71498,1.441
BMDS_SbHfBi-SbHfBi_187,4.8315505644,5894.7711516247,2,321.549211766,231.5683623829,9.4775593292,49.6217919392,4.7967732208,89.7411704817,150.5194355489,0.5321110156,4.97645,4.292
BMDS_TeMoS-TeMoS_236,2.9306802853,7881.4649063498,2.6666666667,656.9879825288,284.5488699317,9.8204746316,53.8790759634,4.0577679085,43.71803534,96.6455925094,0.0440966562,3.37693,3.296
BMDS_AuSe2-AuSe2_475,2.0528357108,3038.980379996,2.6666666667,702.6919166865,255.8519286397,11.245896031,57.6567726512,4.252186983,52.4896640165,104.1425456012,0.0735123851,3.28633,1.597
BMDS_BiNbSb-SbNbBi_167,4.1662384795,6181.0849140966,2,345.5102659135,217.6179000424,9.7072654037,50.2195153944,4.6871547701,68.6429355216,143.9626107973,0.8135561494,4.47237,0.04
BMDS_SbMoAs-AsMoSb_244,3.7148341828,5704.0432607215,2,246.3540278717,240.0372579263,8.6386742624,47.3757745907,3.7900619673,56.5663566664,94.7515491814,1.5855092563,4.06782,2.808
BMDS_Fe2O2-Fe2O2_598,3.3767064003,5080.2982445869,2,407.8818201154,312.4201175352,7.247056739,46.2844618571,1.8513784743,32.4903956726,15.3317279902,0.0007735291,3.61617,2.664
BMDS_GaP-GaP_736,1.1955462601,28.0287540484,2,196.5324033,74.0161677443,13.1422203233,54.5382288642,4.5188818202,14.9279352538,146.0845416006,0.7953816342,0.39438,1.356
BMDS_Rb2Br2-Rb2Br2_644,2.5620031846,311.6385055654,2.5,2167.9781162993,1142.0956804904,44.6078368255,113.5416758382,7.8143388665,11.5843333294,140.2573642708,0.008148285,1.13573,0.067
BMDS_HfLi2-HfLi2_500,4.8173971187,6303.0433307499,0,183.0431964531,125.9189774258,8.1687444299,3.0711945714,3.9925529428,37.4070584479,504.0214190925,2.6013018019,4.86593,3.638
BMDS_TeMoSe-TeMoSe_195,3.0277213169,7865.8627732131,2.6666666667,662.2306408358,264.7547214141,10.2384652913,55.013968086,4.3839255819,49.6451125897,115.0135770299,0.0754722875,3.48211,3.26
BMDS_TeBiBr-BrBiTe_349,2.28894623,1177.9170277095,4,1372.4044048618,207.1713365318,15.481227805,71.8757698172,4.946744158,45.2004842191,88.7877156565,0.0051581435,3.85654,1.352
BMDS_In2Se2-In2Se2_580,2.7481260018,262.9827779711,2.5,798.1578475387,216.9352098438,14.509051025,65.4898746698,4.8298782569,40.2510122821,118.2910861224,0.0834995902,5.36559,1.907
BMDS_WH2-WH2_561,1.6506115204,10134.7600276145,0,200.4380696525,385.4578262549,6.565162131,2.7532701875,0.88104646,48.8088961558,12.4089887352,0.0049971854,2.34276,2.256
BMDS_SeSbCl-ClSbSe_147,1.5629807054,2952.1130907907,4,1407.1505213007,217.7252955594,14.0785412561,68.543148602,4.0319499178,26.2741178135,58.8664687994,0.0003588435,3.24973,1.179
BMDS_ITiBr-ITiBr_218,2.5915313144,5855.2500655905,3.3333333333,1123.7815630554,259.2784180654,11.3881551783,61.6466168827,4.5872335504,37.3298075354,97.728019117,0.0103530054,3.49511,2.28
BMDS_SeHfS-SHfSe_270,2.337687267,7632.259168908,2.6666666667,720.8268798198,432.4961278919,11.2494017499,57.6661503856,3.7482997751,42.963822393,69.9202073425,0.0096951215,3.24007,2.05
BMDS_SeZrS-SZrSe_91,2.0396239473,6508.4971346501,2.6666666667,748.257930911,441.4721792375,12.1219976656,59.8606344729,3.8909412407,26.1867689776,72.5810192984,0.0100640692,3.02917,1.817
BMDS_TeNbS-TeNbS_59,2.4898749358,7754.3602170865,2.6666666667,689.3973899875,326.8542212908,10.8129754941,56.5369463854,4.2579387747,36.7015595944,101.4131475789,0.0462719571,3.35722,3.582
BMDS_WO2-WO2_562,1.8333689857,10316.2855123456,2.6666666667,399.5924007584,410.9283553898,6.9552861689,45.3438185258,1.813752741,54.2357046651,15.0201398867,0.0007578086,2.48082,2.568
BMDS_SbNbBi-BiNbSb_107,4.1662384795,7384.2775435926,2,305.334653598,184.1382231128,9.7072654037,50.2195153944,5.0219515394,68.6429355216,160.7024492621,0.2634850574,4.47237,3.824
BMDS_RuBr2-RuBr2_434,1.8494394085,8845.9575477009,3.3333333333,1226.4641294993,317.3844327725,12.3636841044,64.2325637754,4.4207117422,36.5098776985,79.3461081931,0.004609631,2.62418,1.909
BMDS_SeTaS-STaSe_90,2.1441727044,9989.8065797444,2.6666666667,688.5627837874,385.5951589209,10.2648213145,55.085022703,3.5805264757,44.5601410321,66.7905900274,0.0092611694,3.17983,2.863
BMDS_ClBiS-ClBiS_230,1.9095900808,1044.0980663314,4,1083.9003071174,234.9437824171,13.5027491841,65.152477477,4.0276076986,34.3358894872,67.1267949763,0.0054866283,3.45262,1.379
BMDS_ScTe2-ScTe2_442,3.0917827169,4190.091964477,2.6666666667,730.2540836435,234.2034653115,12.7662906949,61.4304171309,5.2599794668,38.385707539,145.8972406859,0.0902259252,3.80041,5.528
BMDS_BrBiSe-SeBiBr_246,2.0952103808,205.5942610109,4,795.4539860539,163.1700484213,14.4109286311,65.2680193685,4.8135164284,42.8046491233,117.8903599844,0.0832167247,3.71498,1.46
BMDS_BiZrSb-SbZrBi_129,4.4309609447,4092.0579090685,2,344.9546455832,244.0086155773,9.6760985361,50.1387566255,4.679617285,68.1968967415,143.7311023263,0.8122478573,4.96685,4.026
BMDS_Rb2I2-Rb2I2_646,2.4394148782,523.9014603369,2.5,2078.9852277382,1056.3949327938,49.7837993157,119.72475905,9.577980724,13.0629007333,231.7026219261,0.0316214217,1.64185,0.094
BMDS_AsMoSb-SbMoAs_304,3.7148341828,6292.1977103403,2,325.9453291841,180.0279434447,8.6386742624,47.3757745907,4.4217389618,56.5663566664,135.8105538267,0.7674875484,4.06782,3.938
BMDS_IAsSe-IAsSe_51,1.7054366743,2553.5306229569,4,963.5074559316,23.5864738294,13.3831080103,64.8628030309,4.9924702939,32.8104344073,121.4703402215,0.0489222778,3.34887,1.472
BMDS_BrBiTe-TeBiBr_289,2.28894623,753.6808663298,4,804.1630246602,84.5597291967,15.481227805,67.6477833573,5.79234145,45.2004842191,160.6634854737,0.0993576818,3.85654,1.312
BMDS_SnS-SnS_752,1.5548486333,219.3582056528,3,577.5255020314,107.1231813075,12.2349031707,56.3806217408,4.5856239016,22.9546348713,136.0652338011,1.2567052651,1.45964,0.711
BMDS_NbSe2-NbSe2_412,2.4341797263,7861.5158561144,2.6666666667,679.5193226695,331.0478751467,10.5165556661,55.7554316036,4.1119630808,39.7413215891,100.7082483341,0.0710881753,3.34151,3.653
BMDS_GeO2-GeO2_393,1.4839533872,3363.4728030618,3.3333333333,410.0377530968,223.9213261592,7.3239954591,46.5291067344,1.8611642694,25.808475615,15.4127666058,0.0007776177,1.95053,1.598
BMDS_SbTaBi-BiTaSb_68,4.190023093,9149.6454358548,2,303.9217889532,189.9511180958,9.6176408848,49.987136341,4.9987136341,83.3814990336,159.9588362912,0.262265842,4.50266,4.851
BMDS_BiTaAs-AsTaBi_62,3.2545923142,7685.8822380912,2,272.4994611687,300.4481238527,10.569731442,52.4037425324,4.1922994026,69.211168136,104.8074850649,1.7537785834,3.86172,7.365
BMDS_Nb2Se2-Nb2Se2_635,2.5852662044,8696.5199137894,2,751.693875527,366.2098367952,14.8599235474,61.6774461971,4.548711657,38.5467711112,111.4048871935,0.0786387439,3.73615,2.156
BMDS_TeZrS-TeZrS_238,2.6002055718,5896.4647900682,2.6666666667,731.5787576025,376.8511795953,12.1766825856,59.9962076968,4.5184643922,34.6300208681,107.6181975561,0.0491031462,3.39805,1.793
BMDS_PbS2-PbS2_701,2.1034511845,835.2169414765,3.3333333333,787.012430131,259.7141019432,15.4846407789,62.9609944105,4.0924646367,28.8880390073,76.3402057227,0.0105853172,3.19848,1.282
BMDS_GeTe-GeTe_740,1.6233382166,965.5007600241,3,610.821367188,3.9509790892,13.5189480021,59.2646863378,5.0770081296,27.4339422384,154.0881844782,1.2297422415,1.56141,0.613
BMDS_Ag2Br2-Ag2Br2_619,2.3728402797,4288.135760077,2.5,1436.266411855,314.155623049,19.5782447697,75.2203604483,5.1769306897,31.4460086679,92.9192687891,0.005398167,3.36359,0.075
BMDS_Mo2Se2-Mo2Se2_632,2.6780540959,9142.3657925545,2,742.1987217103,331.1348143015,14.486714541,60.8983566532,4.4912538032,40.6350652407,109.9976567048,0.0776454047,3.49579,4.513
BMDS_CaBr2-CaBr2_378,2.3576908826,3645.6506342504,3.3333333333,1393.5211915658,429.3041255594,15.9610465508,72.9817013451,5.022858269,21.0534144662,90.1538663675,0.0052375103,3.12034,1.154
BMDS_Ni2S2-Ni2S2_582,2.5989557199,4773.3890218758,2,712.6375775396,217.3544611496,10.9952616218,57.0110062032,3.7057154032,27.0223449525,69.1258450213,0.0095849754,3.46156,6.065
BMDS_TeCrSe-TeCrSe_223,3.0537091264,5265.9517710541,2.6666666667,645.3150541176,177.5789089732,9.7220853546,53.6087272372,4.2719454517,44.6575228303,112.0757453802,0.0735444727,3.28042,3.161
BMDS_PbI2-PbI2_423,2.4753682783,998.1195416534,4,1378.3911334959,182.1045196692,18.8820198102,79.3788931891,6.3503114551,39.9634736109,153.6215050543,0.0209653665,3.72181,1.304
BMDS_Ti2I2-Ti2I2_659,2.9206286973,6026.7734576549,2.5,1144.743766496,236.5493555429,15.0375678222,65.923590889,5.2738872711,36.871709436,127.5815376616,0.0174115837,4.13786,2.633
BMDS_GeSe2-GeSe2_395,1.8776724226,2603.9441310543,3.3333333333,707.7907799771,79.8533187667,11.4096793303,58.0751409212,4.2830416429,34.3589319489,104.8982232889,0.0740458047,3.0352,1.606
BMDS_MoS2-MoS2_697,1.5250502468,9284.3222758776,2.6666666667,740.4828664304,377.6462618795,13.7081349157,59.2386293144,3.8505109054,19.1682061944,71.8268380437,0.0099594946,2.5991,2.368
BMDS_WTe2-WTe2_566,3.0127510693,10557.3369227974,2.6666666667,675.5638596917,248.6302322735,10.9254295889,56.8297673768,4.8660488316,65.9704548473,134.9706975199,0.0834687208,3.623,3.735
BMDS_Bi2S2-Bi2S2_575,2.903799689,593.7242271705,3.5,760.989781044,209.2721897871,12.5380012666,60.8791824835,3.9571468614,54.4498354019,73.8160087613,0.0102353126,6.6124,2.87
BMDS_ISbSe-SeSbI_73,1.9208786789,1707.9971545616,4,812.7762339292,125.0424975276,15.0453423964,66.6893320147,4.9183382361,34.1123382877,120.4576059516,0.0850288983,3.57649,1.341
BMDS_IBiTe-TeBiI_291,2.5343918213,766.7392959567,4,818.0961185401,86.024828448,16.021864861,68.8198627584,5.8927007487,48.5873265333,163.4471740511,0.1010791734,4.05982,1.375
BMDS_TaSe2-TaSe2_711,1.6881981372,10661.983241131,2.6666666667,743.5932517956,369.8899765342,14.5412337063,61.0127796345,4.499692498,37.2366220279,110.2043332148,0.077791294,3.10031,2.354
BMDS_BiTiAs-AsTiBi_95,3.1265526667,2966.2245313624,2,271.8748689145,216.1056650346,10.5216300426,52.2836286374,4.182690291,49.1824671044,104.5672572748,1.7497587717,3.83946,4.2
BMDS_HfS2-HfS2_689,1.5456317377,8201.2255297697,2.6666666667,774.5627707986,464.7376624792,14.9987297436,61.9650216639,4.0277264082,25.9718551776,75.1325887675,0.0104178693,2.85012,1.739
BMDS_SeHfS-SeHfS_210,2.337687267,7441.8887899476,2.6666666667,711.8165438221,405.4651198986,11.2494017499,57.6661503856,4.000589183,42.963822393,87.0398457382,0.0416097316,3.24007,2.113
BMDS_Fe2Se2-Fe2Se2_626,1.4737659054,4850.9712049955,2,718.2531396918,195.2175200188,13.5669632426,58.9335909491,4.3463523325,18.4666742023,106.4487986518,0.0751403285,2.76584,3.013
BMDS_IAsTe-IAsTe_40,1.9137644,2187.7818440824,4,992.0216976502,20.4372001988,14.468973432,67.4427606561,5.5793556543,35.6581338055,144.8997494096,0.0572037234,3.46656,1.488
BMDS_ClBiS-ClBiS_5,1.6804659343,1075.2805613199,4,1116.2715153253,241.9604923929,14.3215524589,67.0982878064,4.1478941553,30.2160621723,69.1315692551,0.0056504891,3.18386,1.101
BMDS_BrAsSe-SeAsBr_79,1.4294938469,2274.2035038807,4,744.0766497596,41.9735546018,12.609446903,61.0524430572,4.5026176755,29.0365998748,110.2759752721,0.0778418649,3.22742,1.452
BMDS_In2S2-In2S2_604,2.7189353404,162.1648434459,2.5,783.5943147904,266.4220670287,13.2940904639,62.6875451832,4.0746904369,33.5144815035,76.0086485347,0.0105393435,5.17992,1.894
BMDS_SeZrTe-TeZrSe_345,2.6853857801,5362.983339569,2.6666666667,725.8310666358,316.7401605193,12.611886075,61.0583441965,5.2281207218,39.6816481315,145.0135674667,0.089679443,3.53888,2.069
BMDS_BrAsS-SAsBr_97,1.3343938036,2607.3360730138,4,743.2119243526,96.6175501658,11.9589619999,59.4569539482,3.8647020066,24.4603414994,72.0915566622,0.0099962004,3.13695,1.461
BMDS_SbZrBi-BiZrSb_266,4.7735471091,5278.0531693622,2,303.9646685058,209.9755933757,9.6200158757,49.994188899,4.9994188899,73.4696386074,159.9814044768,0.2623028444,5.00113,4.402
BMDS_IBiTe-TeBiI_106,2.2362712655,788.2780500306,4,841.0775559061,88.441383376,16.9350898753,70.7531067008,6.0582347613,42.8719984345,168.0386284145,0.1039186255,3.77489,1.316
BMDS_CaBr2-CaBr2_484,2.51350777,3494.8752710193,3.3333333333,1335.888498555,411.5491369547,14.6679644022,69.9633532823,4.8151249024,22.444808705,86.4253187605,0.0050208995,3.51502,1.347
BMDS_BrBiSe-BrBiSe_23,1.8562227232,689.007031624,4,1088.1703757807,186.3879204089,15.1928929094,69.1101277921,4.9214787973,37.9221881908,104.5028902068,0.0452776049,3.4621,1.313
BMDS_SeBiI-IBiSe_308,2.3567299839,656.0047322303,4,1229.1500917447,116.5860520625,15.0143646648,70.7843887522,5.6627511002,46.3558243762,136.9886111734,0.0186954062,3.90135,1.552
BMDS_Ti2Se2-Ti2Se2_662,2.082696342,6025.4337859331,2,811.9969511105,303.9783458004,17.3394501819,66.6253908604,4.913622576,24.5522815229,120.3421122415,0.0849473733,2.88832,3.376
BMDS_ZnCl2-ZnCl2_718,1.3624144621,1941.0527236955,3.3333333333,1300.0449078255,234.6785936762,13.876269551,63.3259697222,3.7250570425,16.5060063607,54.3858328202,0.0003315301,2.72364,1.348
BMDS_STaSe-SeTaS_150,2.1441727044,9626.1077173479,2.6666666667,671.3487141927,333.9529501369,10.2648213145,55.085022703,4.0625204243,44.5601410321,99.4973222573,0.0702334039,3.17983,2.745
BMDS_MgBr2-MgBr2_405,2.1012662708,2547.4992457715,3.3333333333,1258.2444540131,197.6909031259,13.0128073974,65.8969677086,4.5352618952,23.9007160777,81.4021365813,0.0047290765,3.01302,1.476
BMDS_ClBiS-SBiCl_290,1.9095900808,616.1450051825,4,789.7269997212,217.1749249233,13.5027491841,63.1781599777,4.1065803986,34.3358894872,76.603518973,0.0106218281,3.45262,1.293
BMDS_GeS-GeS_738,1.3197712494,1435.8580727071,3,556.5206128421,64.5494127748,10.542989464,52.3373617093,3.907856341,18.550035382,103.6279761844,1.0496955722,1.35697,0.666
BMDS_SnI2-SnI2_544,2.0435095715,522.7272348895,4,1305.1601094424,132.6382225043,16.9285943973,75.1616594191,6.0129327535,35.3508058962,145.4599173464,0.0198515206,4.02399,1.368
BMDS_AsWBi-BiWAs_347,3.7635764157,10182.8080479131,2,294.7603929314,161.6010926159,9.0465876915,48.4803277848,4.8480327785,86.3980757169,155.1370489113,0.2543601198,4.11395,4.921
BMDS_AsTaSb-SbTaAs_320,3.2804510959,8042.9725245301,2,347.8450287616,225.8296213859,9.8389643312,50.5588704595,4.7188279096,64.463198771,144.9354286507,0.8190537014,3.95315,14.75
BMDS_OsI2-OsI2_420,2.3440596927,11820.0179415301,3.3333333333,1195.3031863178,283.4391024466,14.1987506651,68.8352105942,5.5068168475,53.691599326,133.2163781499,0.0181805939,2.71813,1.653
BMDS_HgI2-HgI2_694,1.7716572986,687.6249219213,3.3333333333,1330.7996915438,252.4552260381,20.3234580613,76.6381936187,6.1310554895,36.0078147959,148.3174452974,0.0202414994,3.53593,1.318
BMDS_SMoTe-TeMoS_356,2.9306802853,7318.5969346446,2.6666666667,640.487515515,225.6186305968,9.8204746316,53.8790759634,4.6133958794,43.71803534,127.9628054131,0.0791348928,3.37693,3.657
BMDS_Ga2O2-Ga2O2_599,2.3009408885,770.1898983547,2.5,437.6960850752,273.1720247278,8.3451691308,49.6676408596,1.9867056344,32.4043227852,16.4524060347,0.0008300704,3.97564,1.913
BMDS_TeHfSe-SeHfTe_88,2.4313737692,7786.6140735983,2.6666666667,754.6668709501,406.3590843578,12.9711318773,61.9213842831,4.5667020909,46.4569305656,111.8455003613,0.078949765,3.33301,2.458
BMDS_IZrBr-IZrBr_190,2.8431372232,6670.24499566,3.3333333333,1147.3261959871,375.7780215963,11.8701454687,62.9381908092,4.6833418455,42.0477790078,99.7755436652,0.0105699138,3.76336,2.212
BMDS_BiCrAs-AsCrBi_77,3.5027845297,3602.3380823752,2,257.7819912158,171.8546608106,9.4591371598,49.5734598492,3.9658767879,55.7865787261,99.1469196984,1.6590584563,3.57456,1.082
BMDS_BiMoAs-BiMoAs_1,3.5767338517,6905.6770755058,2,281.0372717855,204.3001443831,9.5570351847,49.8293035081,4.4846373157,62.1521949434,129.556189121,0.9645292182,3.89399,2.395
BMDS_PbS2-PbS2_425,2.6021961621,818.3107907244,3.3333333333,771.0820171726,254.457065667,12.872941734,61.6865613738,4.0096264893,35.7376224313,74.7949556657,0.0103710531,3.08935,0.34
BMDS_S2Sb-S2Sb_540,1.8911889378,1860.6215801932,3.6666666667,721.9826860398,162.446104359,11.2853747903,57.7586148832,3.7543099674,27.6044005746,70.0323205459,0.0097106671,3.4105,0.017
BMDS_TiSe2-TiSe2_714,1.6039541275,5550.1299139555,2.6666666667,747.944252399,279.9996432058,14.7121063026,61.3697848122,4.5260216299,22.6157348397,110.8491738171,0.0782464756,2.93488,1.822
BMDS_ZrCl2-ZrCl2_568,2.3778971772,6676.0066446286,3.3333333333,1190.9253317192,433.3739745798,10.0841649618,58.0106895107,3.4123935006,26.7009553963,49.8209451092,0.000303703,3.42715,2.152
BMDS_BiVAs-BiVAs_18,3.2465039757,4599.6924371866,2,284.9128570698,143.1299813885,9.8220871744,50.5164640195,4.5464817618,53.3525000666,131.3428064506,0.9778303552,3.69187,4.391
BMDS_Bi2Nb-Bi2Nb_370,4.8012033317,7481.2418772396,2,309.3440602123,186.5561766631,9.9640185518,50.8789572718,5.0878957272,86.5023946743,162.8126632696,0.2669449292,4.56274,3.918
BMDS_BrBiSe-BrBiSe_186,2.0952103808,671.0368241327,4,1059.7894644965,181.5266788687,14.4109286311,67.3076449738,4.7931201724,42.8046491233,101.7773177028,0.0440967056,3.71498,1.39
BMDS_Ru2Se2-Ru2Se2_651,2.003661006,8418.7861506835,2,776.9348317006,298.8210891156,15.8743905663,63.7484990113,4.7014518021,38.4622628802,115.1457263392,0.0812793362,2.77449,2.622
BMDS_SeMoS-SeMoS_212,2.5716262935,7980.3717345137,2.6666666667,642.0525405392,307.209949777,9.1526192535,52.014383031,3.6084978228,37.8834083416,78.5092093875,0.0375316283,3.23305,3.11
BMDS_TiSb2-TiSb2_458,4.1958242718,3332.2310663074,2,331.5461001937,138.144208414,8.9382584753,48.1898401444,4.4977184135,54.8194002887,138.144208414,0.7806754103,4.56475,4.587
BMDS_IBiS-IBiS_204,2.2902558858,641.046981336,4,1012.2977937995,169.6702683469,14.4758560883,67.4592633186,4.9061282414,42.6105448278,106.9127112595,0.0146775003,3.77995,1.387
BMDS_PdO2-PdO2_426,1.7407844992,5474.3856388068,2.6666666667,435.2958551088,373.5517621856,8.2538494603,49.3952743386,1.9758109735,30.0760006218,16.3621846247,0.0008255185,1.94779,1.759
BMDS_HgSe-HgSe_741,1.4200156601,579.85790307,2,435.4293403368,151.8420263738,17.2723319332,62.5231873304,5.5824274402,32.1427327674,140.252907008,0.2317823873,0.39496,1.059
BMDS_HfSe2-HfSe2_502,2.4247327419,7389.2397806563,2.6666666667,716.1539548847,385.6213603225,11.6806261188,58.7613501444,4.3336495731,47.7953162644,106.1376886983,0.0749207214,3.36204,2.12
BMDS_HfCl2-HfCl2_498,2.4590262978,7802.393641753,3.3333333333,1166.4819143985,431.1638021702,9.6743970326,56.8200359449,3.3423550556,42.4739844955,48.7983838115,0.0002974696,3.45033,2.33
BMDS_BSb-BSb_732,1.5675136055,2699.81119096,2,242.8338298221,85.9919643712,12.106027539,52.3429348346,4.1874347868,22.4912225247,118.7062986428,0.9664749039,0,0.57
BMDS_IHfBr-IHfBr_233,2.9361948962,7924.6790964613,3.3333333333,1126.7083633998,376.2965976504,11.4474277235,61.8071706286,4.5991806379,56.138890018,97.9825440259,0.0103799689,3.77851,2.442
BMDS_Ni2S2-Ni2S2_637,2.0851312002,5079.4652105954,2,758.3328671278,231.291524474,14.3767123321,60.6666293702,3.9433309091,21.6799132551,73.5582881114,0.0101995771,2.28541,2.746
BMDS_STiSe-SeTiS_316,2.1967012278,4949.9513051185,2.6666666667,667.0632373864,249.7211093805,10.134191201,54.7333938368,4.0365877955,26.28121554,98.8621926178,0.0697850771,3.11776,1.93
BMDS_Zr2S2-Zr2S2_666,2.0517663448,7691.2432665571,2,884.2338951228,521.6979981225,19.5465842593,70.7387116098,4.5980162546,21.2282563207,85.7706878269,0.0118929459,2.5579,7.348
BMDS_Nb2S2-Nb2S2_634,2.2774892204,9202.013597237,2,779.2901201908,428.6095661049,15.1821976277,62.3432096153,4.052308625,27.8689002609,75.5911416585,0.0104814521,3.21295,1.673
BMDS_ClZrBr-BrZrCl_277,2.5043776476,6500.2169779763,3.3333333333,1133.0525352009,390.9485025955,10.5518581992,59.3403977154,4.0840156075,32.8424559278,73.3028442367,0.0042585462,3.54101,2.453
BMDS_BrAsTe-TeAsBr_288,1.8872370759,1423.1594858629,4,736.8784619457,34.8680660227,12.9988316549,61.9876729292,5.3076944946,36.5200483764,147.2207232068,0.0910443946,3.63364,1.572
BMDS_PdSe2-PdSe2_428,2.0944533576,4981.502794063,2.6666666667,728.1534011786,246.4519203989,12.0756179702,59.7459200967,4.4062616071,37.9345033998,107.9160681747,0.0761760481,2.62074,1.905
BMDS_FeO2-FeO2_682,1.5028266259,5300.7136298767,2.6666666667,425.5783064643,325.9748730365,9.1100646584,48.2925737832,1.9317029513,16.4778289324,15.9969150657,0.0008070896,1.72894,1.42
BMDS_SCrSe-SeCrS_329,2.6239840323,5269.5076325074,2.6666666667,609.4626265356,196.9033101115,8.4595643657,50.0071898696,3.6880302529,32.2090140477,90.3254867019,0.0637591671,3.04155,3.324
BMDS_ISbTe-TeSbI_271,2.3740954429,758.5178419077,4,796.5442443179,41.8792978085,15.1887409387,67.0068764936,5.7374637998,41.4825713772,159.1413316723,0.0984163498,4.01667,1.354
BMDS_SeAsI-IAsSe_171,1.7054366743,2764.1381788588,4,1160.4545124072,3.9310789716,13.3831080103,66.8283425167,5.3462674013,32.8104344073,129.3324981646,0.0176505446,3.34887,1.605
BMDS_BrBiTe-TeBiBr_104,2.0221785762,774.9624264104,4,826.8700409697,86.9474280725,16.3674509897,69.557942458,5.955898823,39.9325460871,165.2001133378,0.102163228,3.5679,1.233
BMDS_Ag2I2-Ag2I2_620,2.7035444467,3839.6718932227,2.5,1336.5144124132,226.3743923464,20.4983890997,76.9672933978,6.1573834718,36.7862433402,148.9543501639,0.0203284204,3.67245,2.344
BMDS_Ni2Se2-Ni2Se2_608,2.6207741142,4774.8102128502,2,754.5283561635,177.9913045309,12.9662221773,61.9100189673,4.5658638988,35.9217570946,111.8249717596,0.0789352742,3.04644,3.081
BMDS_BaCl2-BaCl2_366,2.5797615333,3992.835585404,3.3333333333,1682.157918042,838.668990657,20.1195463942,81.9389243745,4.8199367279,17.8379273325,70.3710762275,0.0004289744,2.77832,0.894
BMDS_ClBiTe-TeBiCl_66,1.931263876,768.1000804916,4,819.5480495316,86.1775025796,16.0790686719,68.9420020636,5.9031589267,36.3302154919,163.7372549012,0.1012585655,3.37816,1.18
BMDS_GeSe2-GeSe2_687,1.5161918557,2664.7901458114,3.3333333333,724.3296326083,81.719240602,13.7973782176,59.4321749832,4.383122905,27.7443137387,107.3493660635,0.0757760231,3.0679,1.452
BMDS_SeTiTe-TeTiSe_136,2.4063830249,4444.2241417019,2.6666666667,693.8058602292,193.3318117358,11.5234386022,58.364320524,4.9974449449,34.629014002,138.6152612445,0.0857225958,3.28016,2.253
BMDS_BrAsS-BrAsS_37,1.3343938036,2835.0562066354,4,974.7224387884,85.4693713005,11.9589619999,61.3149837591,4.106245882,24.4603414994,75.0644043596,0.0072648966,3.13695,1.367
